cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,telephone_number,provider_ssa_county_code,countyparish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_4a14,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_casemix_index,nursing_casemix_index_ratio,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,casemix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_23_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_23_number_of_complaint_health_deficiencies,rating_cycle_23_health_deficiency_score,rating_cycle_23_number_of_health_revisits,rating_cycle_23_health_revisit_score,rating_cycle_23_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
345293,Richmond Pines Healthcare and Rehabilitation Cente,Highway 177 S,Hamlet,NC,28345,9105820021,760,Richmond,N,For profit - Corporation,105,89.1,,Medicare and Medicaid,N,"SPRUCE LTC GROUP, LLC",1989-01-18,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Both,Yes,3,,3,,3,,4,,2,,4,,,,2.37819,0.67705,0.59317,1.27022,3.64841,3.16545,0.40537,0.06802,,27,,27,,27,1.18305,0.85008,1.98234,0.73134,0.57747,3.29115,2.91969,2.77807,0.79090,0.69291,4.26188,3.69771,2025-12-18,5,5,0,32,1,0,32,2024-09-18,1,0,1,0,0,0,0,24.000,,0,0.00,0,0,"Highway 177 S,Hamlet,NC,28345",34.8995,-79.69,,2026-04-01
345294,Autumn Care of Shallotte,237 Mulberry Street,Shallotte,NC,28459,9107548858,090,Brunswick,Y,For profit - Corporation,100,93.7,,Medicare and Medicaid,N,AUTUMN CORPORATION,1989-01-24,SABER HEALTHCARE GROUP,461,126,3.0,2.7,2.3,4.0,N,,N,N,N,Resident,Yes,3,,3,,4,,3,,4,,4,,,,1.68766,0.56271,1.10052,1.66323,3.35089,2.87209,0.90523,0.04565,53.6,,31.6,,0,,1.29373,0.92962,2.16781,0.79976,0.63150,3.59908,3.19286,1.80277,0.60109,1.17558,3.57944,3.06798,2025-07-25,3,3,1,24,1,0,24,2024-08-29,11,6,7,88,1,0,88,40.000,,3,51348.00,0,3,"237 Mulberry Street,Shallotte,NC,28459",33.9769,-78.389,,2026-04-01
345296,Margate Health and Rehab Center,540 Waugh Street,Jefferson,NC,28640,3362465581,040,Ashe,N,For profit - Limited Liability company,210,123.4,,Medicare and Medicaid,N,Legal Business Name Not Available,1989-03-02,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,5,,3,,5,,2,,,,2.05171,0.87400,0.39294,1.26694,3.31866,3.18257,0.20971,0.09456,55.2,,50.0,,1,,1.29081,0.92752,2.16292,0.79795,0.63008,3.59095,3.18565,2.19661,0.93573,0.42069,3.55303,3.40734,2026-02-13,5,3,2,20,0,0,20,2024-11-20,13,11,3,166,2,83,249,77.250,0,4,28973.00,1,5,"540 Waugh Street,Jefferson,NC,28640",36.4238,-81.456,,2026-04-01
345297,Scotia Village - SNF,2200 Elm Drive,Laurinburg,NC,28352,9102772000,820,Scotland,N,Non profit - Corporation,58,55.2,,Medicare and Medicaid,N,"PRESBYTERIAN HOMES, INC",1989-02-27,,,,,,,,Y,,N,N,N,Resident,Yes,5,,5,,3,,4,,3,,5,,,,3.20316,1.37235,0.72059,2.09295,5.29610,4.73117,0.23319,0.05269,42.0,,20.0,,0,,1.11358,0.80016,1.86594,0.68839,0.54356,3.09789,2.74825,3.97519,1.70312,0.89427,6.57257,5.87148,2025-12-31,0,0,0,0,0,0,0,2024-11-07,3,3,0,12,1,0,12,3.000,,0,0.00,0,0,"2200 Elm Drive,Laurinburg,NC,28352",34.736,-79.488,,2026-04-01
345298,The Laurels of Pender,311 S Campbell Street,Burgaw,NC,28425,9102596007,700,Pender,Y,For profit - Limited Liability company,98,89.7,,Medicare and Medicaid,N,"THE LAURELS OF PENDER, LLC",1989-03-06,CIENA HEALTHCARE/LAUREL HEALTH CARE,144,84,2.9,2.6,3.2,4.0,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,4,,3,,,,2.36809,0.95761,0.54000,1.49761,3.86569,3.37327,0.23540,0.05753,43.6,,45.5,,0,,1.47279,1.05828,2.46784,0.91045,0.71890,4.09719,3.63475,2.22207,0.89856,0.50670,3.62733,3.16527,2026-01-15,9,8,2,44,1,0,44,2024-09-20,0,0,0,0,0,0,0,33.000,,0,0.00,0,0,"311 S Campbell Street,Burgaw,NC,28425",34.5498,-77.92,,2026-04-01
345301,White Oak Manor - Burlington,323 Baldwin Road,Burlington,NC,27217,3362295571,000,Alamance,Y,For profit - Corporation,160,117.7,,Medicare and Medicaid,N,Legal Business Name Not Available,1989-04-27,WHITE OAK MANAGEMENT,564,14,3.1,2.9,3.6,3.6,N,,N,N,N,Resident,Yes,1,,1,,4,,5,,4,,4,,,,2.32390,1.21958,0.38723,1.60681,3.93072,3.45396,0.17411,0.03326,45.8,,25.0,,0,,1.29218,0.92850,2.16522,0.79880,0.63075,3.59476,3.18904,2.48538,1.30433,0.41414,4.20385,3.69396,2025-11-18,3,3,0,8,1,0,8,2024-08-01,18,7,15,613,1,0,613,159.250,,4,148522.00,1,5,"323 Baldwin Road,Burlington,NC,27217",36.1008,-79.42,,2026-04-01
345302,Vero Health & Rehab of Sylva,417 Cloverdale Road,Sylva,NC,28779,8286311600,490,Jackson,N,For profit - Limited Liability company,106,86.3,,Medicare and Medicaid,N,SYLVA OPERATIONS LLC,1989-05-10,REGIONAL HEALTH PROPERTIES,856,5,1.2,1.6,1.2,1.8,N,SFF Candidate,N,N,N,Resident,Yes,1,,1,,2,,1,,2,,1,,,,2.28577,0.51243,0.59925,1.11168,3.39745,3.02689,0.37028,0.04962,,26,,26,,26,1.42585,1.02455,2.38920,0.88143,0.69599,3.96662,3.51893,2.21543,0.49666,0.58080,3.29290,2.93374,2025-08-14,7,7,0,32,1,0,32,2024-07-30,57,17,57,893,1,0,893,247.250,19,4,359818.00,2,6,"417 Cloverdale Road,Sylva,NC,28779",35.3777,-83.212,22,2026-04-01
345303,The Laurels Of Greentree Ridge,70 Sweeten Creek Road,Asheville,NC,28803,8282747646,100,Buncombe,Y,For profit - Corporation,90,85.4,,Medicare and Medicaid,N,"THE LAURELS OF GREENTREE RIDGE, INC",1989-05-17,CIENA HEALTHCARE/LAUREL HEALTH CARE,144,84,2.9,2.6,3.2,4.0,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,3,,,,2.12154,0.79635,0.86615,1.66250,3.78403,3.23980,0.46360,0.05940,42.1,,11.8,,0,,1.58990,1.14242,2.66407,0.98284,0.77607,4.42298,3.92377,1.84409,0.69221,0.75287,3.28917,2.81611,2025-05-07,2,2,0,12,1,0,12,2024-02-27,11,9,4,36,1,0,36,18.000,,0,0.00,0,0,"70 Sweeten Creek Road,Asheville,NC,28803",35.5636,-82.532,,2026-04-01
345304,"Accordius Health at Midwood, LLC",2727 Shamrock Drive,Charlotte,NC,28205,7045192400,590,Mecklenburg,Y,For profit - Limited Liability company,100,66.8,,Medicare and Medicaid,N,Legal Business Name Not Available,1989-06-09,SIMCHA HYMAN & NAFTALI ZANZIPER,580,94,2.4,2.5,2.4,3.4,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,2,,,,1.47778,0.94654,0.50912,1.45565,2.93344,2.64293,0.38577,0.08756,78.6,,76.9,,0,,1.20137,0.86325,2.01304,0.74266,0.58642,3.34212,2.96490,1.69995,1.08883,0.58565,3.37443,3.04025,2025-08-07,5,5,1,20,1,0,20,2024-05-07,15,15,12,564,1,0,564,156.000,,1,144199.00,0,1,"2727 Shamrock Drive,Charlotte,NC,28205",35.2381,-80.781,,2026-04-01
345305,Smoky Ridge Health and Rehabilitation,310 Pensacola Road,Burnsville,NC,28714,8286829759,981,Yancey,N,For profit - Limited Liability company,140,100.6,,Medicare and Medicaid,N,SMOKEY RIDGE HEALTH AND REHABILITATION SNF LLC,1989-06-29,BRIGHTON HEALTHCARE,848,7,1.1,1.3,1.9,2.1,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,2,,3,,,,1.94231,0.55749,0.78640,1.34389,3.28620,3.00525,0.57743,0.04618,48.1,,18.8,,0,,1.38636,0.99617,2.32302,0.85702,0.67672,3.85676,3.42146,1.93616,0.55573,0.78391,3.27580,2.99574,2025-03-20,5,5,1,20,1,0,20,2023-12-01,16,14,16,136,1,0,136,49.000,0,1,59631.00,0,1,"310 Pensacola Road,Burnsville,NC,28714",35.9099,-82.292,,2026-04-01
345306,IREDELL MEMORIAL HOSPITAL INC,557 BROOKDALE DRIVE,STATESVILLE,NC,28677,7048784541,480,Iredell,Y,Non profit - Other,48,30.6,,Medicare and Medicaid,Y,IREDELL MEMORIAL HOSPITAL INCORPORATED,1989-07-13,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,3,,,2,3,,5,,,,2.22384,1.85154,2.27297,4.12451,6.34835,5.17386,2.00444,0.07982,47.5,,36.8,,,26,1.30266,0.93603,2.18277,0.80528,0.63586,3.62391,3.21489,2.35924,1.96427,2.41136,6.73487,5.48887,2026-03-05,1,1,0,4,0,0,4,2025-01-09,1,1,0,4,1,0,4,4.000,,0,0.00,0,0,"557 BROOKDALE DRIVE,STATESVILLE,NC,28677",35.7996,-80.877,,2026-04-01
345307,Juniper Gardens Center for Nursing and Rehabilitat,4414 Wilkinson Blvd,Gastonia,NC,28056,7048245550,350,Gaston,Y,For profit - Corporation,50,40.5,,Medicare and Medicaid,N,"WILKINSON BLVD OPERATING COMPANY, LLC",1989-08-09,ALLIANCE HEALTH GROUP,714,11,1.3,1.5,1.6,1.6,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,1,,3,,,,1.66493,0.97421,0.81812,1.79233,3.45726,2.88181,0.62683,0.06032,56.1,,37.5,,0,,1.39667,1.00358,2.34029,0.86339,0.68175,3.88544,3.44690,1.64741,0.96396,0.80951,3.42088,2.85148,2025-11-21,4,4,0,8,1,0,8,2024-08-27,7,7,2,68,1,0,68,23.000,,4,60781.00,2,6,"4414 Wilkinson Blvd,Gastonia,NC,28056",35.2561,-81.103,,2026-04-01
345309,Liberty Commons Nursing and Rehabilitation Center,101 Caroline Avenue,Weldon,NC,27890,2525364817,410,Halifax,N,For profit - Limited Liability company,50,44.7,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1989-09-25,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,4,,4,,3,,2,,3,,3,,,,1.78144,0.87955,0.56955,1.44910,3.23054,2.93725,0.36811,0.12645,54.7,,25.0,,0,,1.26613,0.90978,2.12155,0.78269,0.61803,3.52227,3.12473,1.94444,0.96002,0.62167,3.52613,3.20600,2025-11-25,1,1,0,4,1,0,4,2024-10-09,2,2,0,20,1,0,20,8.000,,0,0.00,0,0,"101 Caroline Avenue,Weldon,NC,27890",36.4165,-77.607,,2026-04-01
345310,Piedmont Crossing,100 Hedrick Drive,Thomasville,NC,27360,3364722017,280,Davidson,Y,Non profit - Corporation,104,77.0,,Medicare and Medicaid,N,EVERYAGE,1989-11-01,EVERYAGE SENIOR LIVING,675,4,4.8,4.5,5.0,3.3,Y,,N,N,N,Resident,Yes,5,,5,,4,,3,,5,,5,,,,3.27554,1.02745,0.84859,1.87604,5.15157,4.70197,0.47847,0.01305,33.3,,46.2,,0,,1.13395,0.81480,1.90007,0.70098,0.55351,3.15457,2.79852,3.99198,1.25218,1.03420,6.27836,5.73042,2025-02-14,2,2,2,4,1,0,4,2023-10-13,1,1,0,8,1,0,8,5.000,,0,0.00,0,0,"100 Hedrick Drive,Thomasville,NC,27360",35.8435,-80.107,,2026-04-01
345311,Roxboro Healthcare & Rehab Center,901 Ridge Road,Roxboro,NC,27573,3365990106,720,Person,Y,For profit - Corporation,140,94.9,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,1989-10-18,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,2,,3,,4,,4,,3,,1,,,,2.06635,0.51766,0.44073,0.95840,3.02474,2.75749,0.17113,0.05460,59.6,,61.5,,1,,1.39303,1.00097,2.33420,0.86114,0.67997,3.87532,3.43793,2.04994,0.51355,0.43723,3.00073,2.73560,2025-12-04,3,3,0,20,1,0,20,2024-08-15,12,9,6,84,1,0,84,36.000,0,1,56778.00,1,2,"901 Ridge Road,Roxboro,NC,27573",36.4091,-78.984,,2026-04-01
345312,The Greens at Hendersonville,1870 Pisgah Drive,Hendersonville,NC,28791,8286939796,440,Henderson,Y,For profit - Corporation,120,105.1,,Medicare and Medicaid,N,GREENS AT HENDERSONVILLE LLC,1989-11-17,CCH HEALTHCARE,124,32,2.5,2.4,2.4,3.8,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,3,,3,,,,1.88883,0.66835,0.89520,1.56356,3.45239,3.18967,0.84829,0.04794,60.9,,45.5,,1,,1.23349,0.88633,2.06686,0.76252,0.60210,3.43147,3.04418,2.11620,0.74881,1.00297,3.86798,3.57364,2026-01-16,2,2,0,8,1,0,8,2024-11-01,18,6,14,136,1,0,136,40.000,4,3,106208.00,1,4,"1870 Pisgah Drive,Hendersonville,NC,28791",35.3238,-82.493,,2026-04-01
345313,Northampton Nursing and Rehabilitation Center,HWY 305 North,Jackson,NC,27845,2525340131,650,Northampton,N,For profit - Limited Liability company,80,75.2,,Medicare and Medicaid,N,"TAR RIVER LTC GROUP, LLC",1990-02-27,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,3,,4,,3,,4,,3,,1,,,,1.82566,0.76018,0.43074,1.19092,3.01658,2.68078,0.18437,0.07300,58.0,,,27,0,,1.33481,0.95913,2.23663,0.82515,0.65155,3.71333,3.29422,1.89017,0.78704,0.44596,3.12318,2.77551,2025-01-24,6,6,0,28,1,0,28,2023-11-15,0,0,0,0,0,0,0,21.000,,0,0.00,0,0,"HWY 305 North,Jackson,NC,27845",36.3827,-77.39,,2026-04-01
345314,"Fair Haven of Forest City, LLC",830 Bethany Church Road,Forest City,NC,28043,8282452852,800,Rutherford,N,For profit - Partnership,100,82.9,,Medicare and Medicaid,N,FAIR HAVEN OF FOREST CITY LLC,1990-04-06,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,2,,2,,2,,3,,,,2.33382,0.98965,0.40870,1.39835,3.73217,3.47103,0.19674,0.05740,35.1,,62.5,,1,,1.29845,0.93300,2.17571,0.80267,0.63380,3.61219,3.20450,2.48395,1.05331,0.43499,3.97225,3.69431,2025-02-13,1,1,0,4,1,0,4,2023-11-16,2,2,2,12,1,0,12,6.000,,0,0.00,0,0,"830 Bethany Church Road,Forest City,NC,28043",35.3023,-81.894,,2026-04-01
345315,The Carrolton of Lumberton,1170 Linkhaw Road,Lumberton,NC,28358,9106711163,770,Robeson,N,For profit - Limited Liability company,90,85.7,,Medicare and Medicaid,N,"THE CARROLTON OF LUMBERTON, LLC",1990-04-05,CARROLTON NURSING HOMES,749,6,2.2,2.2,2.2,2.2,N,,Y,N,N,Both,Yes,1,,1,,1,,1,,2,,3,,,,2.56969,0.86778,0.36599,1.23377,3.80346,3.64177,0.12021,0.03269,49.5,,45.5,,1,,1.30232,0.93579,2.18221,0.80507,0.63570,3.62297,3.21406,2.72685,0.92086,0.38837,4.03607,3.86451,2026-02-19,9,9,3,56,1,0,56,2024-11-21,13,11,3,302,1,0,302,117.500,,0,0.00,0,0,"1170 Linkhaw Road,Lumberton,NC,28358",34.6443,-78.988,,2026-04-01
345316,Senior Citizens Home,2275 Ruin Creek Road,Henderson,NC,27537,2524920066,900,Vance,N,For profit - Limited Liability company,60,56.6,,Medicare and Medicaid,N,HENDERSON SCH OPERATING LLC.,1990-05-03,ALLIANCE HEALTH GROUP,714,11,1.3,1.5,1.6,1.6,N,,N,N,N,Resident,Yes,2,,2,,2,,4,,1,,2,,,,2.48536,0.74528,0.58037,1.32566,3.81102,3.20111,0.41774,0.03088,58.9,,66.7,,0,,1.38856,0.99775,2.32670,0.85838,0.67779,3.86286,3.42688,2.47358,0.74175,0.57762,3.79295,3.18594,2024-12-05,6,6,0,48,1,0,48,2023-09-27,17,12,8,120,1,0,120,66.000,,1,55760.00,1,2,"2275 Ruin Creek Road,Henderson,NC,27537",36.3085,-78.456,,2026-04-01
345317,Clayton Rehabilitation and Healthcare Center,204 Dairy Road,Clayton,NC,27520,9195538232,500,Johnston,Y,For profit - Limited Liability company,90,78.8,,Medicare and Medicaid,N,CLT OPCO LLC,1990-04-16,SIMCHA HYMAN & NAFTALI ZANZIPER,580,94,2.4,2.5,2.4,3.4,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,2,,,,1.93955,1.02592,0.51175,1.53767,3.47722,3.01725,0.34949,0.18569,80.2,,86.7,,1,,1.28329,0.92211,2.15031,0.79330,0.62640,3.57001,3.16708,2.08871,1.10481,0.55111,3.74462,3.24929,2024-11-27,25,5,20,227,1,0,227,2023-10-26,9,0,9,40,0,0,40,180.250,,1,255500.00,0,1,"204 Dairy Road,Clayton,NC,27520",35.6369,-78.471,,2026-04-01
345318,Brunswick Cove Nursing Center,1478 River Road,Winnabow,NC,28479,9103719894,090,Brunswick,Y,For profit - Limited Liability company,175,127.1,,Medicare and Medicaid,N,"BRUNSWICK COVE LIVING CENTER, LLC",1990-05-10,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,2,,1,,3,,4,,,,2.67806,0.88681,0.52667,1.41348,4.09154,3.62842,0.29776,0.06388,81.6,,33.3,,1,,1.20753,0.86767,2.02336,0.74647,0.58942,3.35925,2.98010,3.06495,1.01492,0.60276,4.68263,4.15261,2025-12-04,7,6,2,28,1,0,28,2024-07-25,10,8,4,56,1,0,56,35.000,,14,102444.00,0,14,"1478 River Road,Winnabow,NC,28479",34.1851,-77.989,,2026-04-01
345319,Elderberry Health Care,415 Elderberry Lane,Marshall,NC,28753,8282521790,570,Madison,Y,For profit - Corporation,80,71.9,,Medicare and Medicaid,N,"WILKINSON CARE CENTER, INC.",1990-05-14,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,2,,2,,,,1.92518,0.57021,0.45494,1.02515,2.95033,2.55483,0.21649,0.06663,38.7,,44.4,,0,,1.25757,0.90363,2.10722,0.77741,0.61385,3.49847,3.10361,2.11562,0.62662,0.49994,3.24219,2.80755,2025-11-19,3,3,0,16,1,0,16,2024-08-28,15,8,9,84,1,0,84,33.000,,0,0.00,0,0,"415 Elderberry Lane,Marshall,NC,28753",35.7962,-82.65,,2026-04-01
345321,Kerr Lake Nursing and Rehabilitation Center,1245 Park Avenue,Henderson,NC,27536,2524927021,900,Vance,N,For profit - Corporation,92,68.8,,Medicare and Medicaid,N,"EAGLE PEAK LTC GROUP, LLC",1990-07-13,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,4,,4,,3,,3,,3,,4,,,,2.51613,1.07203,0.61619,1.68822,4.20435,3.79952,0.39604,0.13492,20.9,,22.2,,1,,1.45325,1.04424,2.43510,0.89837,0.70937,4.04283,3.58653,2.39273,1.01945,0.58597,3.99815,3.61317,2026-02-12,2,2,1,12,1,0,12,2024-11-06,5,2,3,40,1,0,40,19.000,,1,19620.00,0,1,"1245 Park Avenue,Henderson,NC,27536",36.3231,-78.417,,2026-04-01
345322,The Laurels of Hendersonville,290 Clear Creek Road,Hendersonville,NC,28792,8286926000,440,Henderson,Y,For profit - Corporation,100,92.4,,Medicare and Medicaid,N,"LAUREL HEALTH CARE COMPANY OF NORTH CAROLINA, INC.",1990-06-27,CIENA HEALTHCARE/LAUREL HEALTH CARE,144,84,2.9,2.6,3.2,4.0,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,4,,,,2.21275,0.64045,0.73956,1.38001,3.59276,2.67618,0.39234,0.12278,46.5,,37.5,,0,,1.25818,0.90407,2.10825,0.77778,0.61415,3.50018,3.10513,2.43045,0.70347,0.81232,3.94624,2.93948,2025-03-20,3,2,1,8,1,0,8,2024-01-05,17,11,17,226,1,0,226,62.500,,4,36257.00,1,5,"290 Clear Creek Road,Hendersonville,NC,28792",35.3437,-82.458,,2026-04-01
345323,Wallace Rehabilitation and Healthcare Center,647 S East Railroad Street,Wallace,NC,28466,9102859700,300,Duplin,N,For profit - Limited Liability company,80,75.9,,Medicare and Medicaid,N,WLC OPCO LLC,1990-08-16,SIMCHA HYMAN & NAFTALI ZANZIPER,580,94,2.4,2.5,2.4,3.4,N,,N,N,N,Resident,Yes,4,,5,,4,,5,,3,,1,25,25,6,,,,,,,,,39.1,,40.0,,2,,,,,,,,,,,,,,2025-02-27,0,0,0,0,0,0,0,2024-02-08,3,3,1,4,1,0,4,1.000,,0,0.00,0,0,"647 S East Railroad Street,Wallace,NC,28466",34.7263,-77.993,,2026-04-01
345325,The Carrolton of Dunn,711 Susan Tart Road,Dunn,NC,28335,9108928843,420,Harnett,N,For profit - Limited Liability company,100,93.3,,Medicare and Medicaid,N,"THE CARROLTON OF DUNN, LLC",1990-09-05,CARROLTON NURSING HOMES,749,6,2.2,2.2,2.2,2.2,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,1,,1,,,,1.83448,0.78710,0.19938,0.98649,2.82097,2.57284,0.13007,0.04969,56.2,,66.7,,0,,1.29182,0.92824,2.16461,0.79858,0.63057,3.59376,3.18814,1.96250,0.84203,0.21330,3.01783,2.75239,2025-11-18,8,5,3,169,1,0,169,2024-10-08,17,13,7,205,1,0,205,178.000,,5,61389.00,1,6,"711 Susan Tart Road,Dunn,NC,28335",35.3041,-78.628,,2026-04-01
345326,Willowbrooke Court SC Ctr at Matthews Glen,740 Pavilion View Drive,Matthews,NC,28105,7048456220,590,Mecklenburg,Y,Non profit - Corporation,15,12.2,,Medicare,N,ACTS RETIREMENT-LIFE COMMUNITIES INC,1990-09-06,ACTS RETIREMENT-LIFE COMMUNITIES,9,27,4.7,4.3,4.8,4.4,Y,,N,N,N,Resident,Yes,5,,4,,4,,,2,4,,5,,,,2.69784,0.96495,0.96699,1.93194,4.62978,4.37325,0.84858,1.40012,,27,,27,,27,1.18125,0.84879,1.97932,0.73022,0.57659,3.28614,2.91525,3.15628,1.12892,1.13131,5.41651,5.11639,2025-07-08,3,3,0,12,1,0,12,2024-05-30,3,3,0,12,1,0,12,12.000,,0,0.00,0,0,"740 Pavilion View Drive,Matthews,NC,28105",35.1143,-80.694,22,2026-04-01
345328,Givens Health Center,600 Barrett Lane,Asheville,NC,28803,8287712900,100,Buncombe,Y,Non profit - Corporation,70,57.4,,Medicare and Medicaid,N,"GIVENS ESTATES, INC.",1990-12-01,,,,,,,,Y,,N,N,N,Resident,Yes,5,,4,,3,,1,,5,,5,,,,3.14697,0.78031,0.98358,1.76390,4.91087,4.12813,0.65251,0.12853,34.7,,38.9,,1,,1.19052,0.85545,1.99486,0.73595,0.58112,3.31194,2.93813,3.65305,0.90580,1.14176,5.70061,4.79200,2026-03-18,1,1,0,4,0,0,4,2025-02-06,5,5,0,24,1,0,24,9.000,,0,0.00,0,0,"600 Barrett Lane,Asheville,NC,28803",35.5042,-82.511,,2026-04-01
345329,Hibriten Mountain Nursing and Rehabilitation,2030 Harper Avenue NW,Lenoir,NC,28645,8287543888,130,Caldwell,Y,Non profit - Other,100,75.4,,Medicare and Medicaid,N,2030 HARPER AVENUE OPCO LLC,1990-10-03,AVARDIS HEALTH,843,33,2.1,2.1,2.4,3.3,N,,Y,N,N,Resident,Yes,1,,1,,4,,4,,4,,3,,,,2.27655,0.60806,0.60047,1.20853,3.48508,3.07538,0.37363,0.04291,50.0,,40.0,,2,,1.29590,0.93117,2.17144,0.80110,0.63256,3.60510,3.19821,2.42776,0.64845,0.64035,3.71656,3.27964,2026-02-26,15,11,6,80,0,0,80,2024-12-17,26,8,21,200,1,0,200,110.000,,2,53110.00,0,2,"2030 Harper Avenue NW,Lenoir,NC,28645",35.9011,-81.563,,2026-04-01
345330,The Graybrier Nursing and Retirement Center,116 Lane Drive,Trinity,NC,27370,3364318888,750,Randolph,Y,For profit - Corporation,128,103.3,,Medicare and Medicaid,N,ARCHDALE NURSING CENTER INC,1990-11-08,,,,,,,,N,,N,N,N,Resident,Yes,3,,4,,1,,2,,1,,3,,,,2.55618,1.11993,0.46460,1.58453,4.14071,3.81032,0.42368,0.03158,62.9,,56.5,,0,,1.25508,0.90184,2.10304,0.77586,0.61263,3.49153,3.09746,2.81463,1.23317,0.51157,4.55937,4.19557,2026-01-22,1,1,0,4,1,0,4,2024-10-17,4,2,3,32,1,0,32,11.000,,1,8512.00,0,1,"116 Lane Drive,Trinity,NC,27370",35.883,-79.945,,2026-04-01
345331,Sardis Oaks,5151 Sardis Road,Charlotte,NC,28270,7043654202,590,Mecklenburg,Y,Non profit - Other,124,92.5,,Medicare and Medicaid,N,"AHSNF, INC.",1990-11-16,ATRIUM HEALTH,55,6,3.5,3.2,3.2,3.8,N,,N,N,N,Resident,Yes,4,,4,,4,,3,,5,,3,,,,2.01807,0.62878,0.55761,1.18639,3.20446,2.62671,0.39119,0.05157,40.8,,21.4,,0,,1.25128,0.89911,2.09667,0.77351,0.61078,3.48096,3.08808,2.22885,0.69445,0.61585,3.53916,2.90108,2025-12-18,4,4,0,16,1,0,16,2024-09-27,8,7,4,40,1,0,40,22.000,,0,0.00,0,0,"5151 Sardis Road,Charlotte,NC,28270",35.1579,-80.791,,2026-04-01
