cms_certification_number_ccn,provider_name,provider_address,citytown,state,zip_code,telephone_number,provider_ssa_county_code,countyparish,urban,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_4a14,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_casemix_index,nursing_casemix_index_ratio,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,casemix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_23_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_23_number_of_complaint_health_deficiencies,rating_cycle_23_health_deficiency_score,rating_cycle_23_number_of_health_revisits,rating_cycle_23_health_revisit_score,rating_cycle_23_total_health_score,total_weighted_health_survey_score,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
345510,Tarboro Health and Rehabilitation LLC,911 Western Boulevard,Tarboro,NC,27886,2528232041,320,Edgecombe,Y,For profit - Limited Liability company,118,95.7,,Medicare and Medicaid,N,Legal Business Name Not Available,2001-01-04,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,3,,4,,2,,3,,,,2.49372,0.79479,0.45347,1.24826,3.74198,3.32832,0.30359,0.04178,34.8,,40.0,,2,,1.34072,0.96338,2.24655,0.82881,0.65444,3.72980,3.30883,2.57044,0.81925,0.46742,3.85711,3.43072,2025-01-09,2,2,0,4,1,0,4,2023-11-16,8,8,2,52,1,0,52,16.000,,0,0.00,0,0,"911 Western Boulevard,Tarboro,NC,27886",35.8955,-77.556,,2026-04-01
345511,Autumn Care of Statesville,2001 Vanhaven Drive,Statesville,NC,28625,7048839700,480,Iredell,Y,For profit - Limited Liability company,103,97.9,,Medicare and Medicaid,N,AUTUMN CARE OF STATESVILLE LLC,2001-12-19,SABER HEALTHCARE GROUP,461,126,3.0,2.7,2.3,4.0,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,2,,2,,,,2.19621,0.78908,0.37531,1.16439,3.36061,2.76407,0.23859,0.06428,52.3,,40.0,,1,,1.39881,1.00512,2.34387,0.86471,0.68279,3.89138,3.45217,2.16979,0.77958,0.37080,3.32017,2.73081,2025-04-16,3,3,0,12,1,0,12,2024-02-08,3,3,0,12,1,0,12,12.000,0,0,0.00,0,0,"2001 Vanhaven Drive,Statesville,NC,28625",35.7943,-80.851,,2026-04-01
345512,Cypress Glen Retirement Community,1000 Hickory Street,Greenville,NC,27858,2528300036,730,Pitt,Y,Non profit - Corporation,6,3.0,,Medicare,N,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",2002-01-10,LIFE CARE SERVICES,312,22,4.2,3.8,4.5,4.3,Y,,N,N,N,Resident,Yes,5,,5,,5,,,2,5,,5,,,,4.76062,0.94062,1.35217,2.29279,7.05341,6.26316,0.57382,0.44286,,27,,27,,27,1.34495,0.96642,2.25364,0.83142,0.65650,3.74156,3.31927,4.89165,0.96651,1.38939,7.24755,6.43555,2025-08-14,0,0,0,0,0,0,0,2024-09-19,1,1,0,8,1,0,8,2.000,,0,0.00,0,0,"1000 Hickory Street,Greenville,NC,27858",35.6068,-77.349,,2026-04-01
345513,Tower Nursing and Rehabilitation Center,3609 Bond Street,Raleigh,NC,27604,9192318113,910,Wake,Y,For profit - Limited Liability company,180,87.8,,Medicare and Medicaid,N,"EVEREST LONG TERM CARE, LLC",2002-03-14,PRINCIPLE LONG TERM CARE,423,44,3.1,3.0,3.0,3.4,N,,N,N,N,Resident,Yes,2,,2,,2,,3,,2,,4,,,,2.37576,0.44703,0.90407,1.35110,3.72686,3.60541,0.72971,0.12958,44.9,,38.9,,4,,1.27683,0.91747,2.13949,0.78931,0.62325,3.55206,3.15115,2.57139,0.48384,0.97852,4.03375,3.90230,2025-03-20,7,7,0,32,1,0,32,2024-02-08,11,8,3,104,1,0,104,50.000,,2,15593.00,0,2,"3609 Bond Street,Raleigh,NC,27604",35.8027,-78.582,,2026-04-01
345514,Autumn Care of Nash,1210 Eastern Avenue,Nashville,NC,27856,2524620070,630,Nash,Y,For profit - Corporation,60,56.8,,Medicare and Medicaid,N,AUTUMN CORPORATION,2002-04-16,SABER HEALTHCARE GROUP,461,126,3.0,2.7,2.3,4.0,N,,N,N,N,Resident,Yes,3,,3,,2,,3,,1,,3,,,,2.22125,0.83703,0.67875,1.51578,3.73703,3.34292,0.35824,0.09975,43.5,,36.4,,0,,1.39843,1.00484,2.34324,0.86448,0.68261,3.89032,3.45123,2.19512,0.82718,0.67076,3.69306,3.30359,2025-07-30,8,7,4,28,1,0,28,2024-06-13,2,2,1,8,1,0,8,23.000,,0,0.00,0,0,"1210 Eastern Avenue,Nashville,NC,27856",35.9707,-77.932,,2026-04-01
345515,PruittHealth-Town Center,6300 Roberta Road,Harrisburg,NC,28075,7044555553,120,Cabarrus,Y,For profit - Corporation,70,64.2,,Medicare and Medicaid,N,"PRUITTHEALTH - TOWN CENTER, LLC",2002-07-01,PRUITTHEALTH,434,96,2.9,2.8,2.4,3.7,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,4,,3,,,,2.20941,1.47358,0.76655,2.24014,4.44955,3.80143,0.52686,0.14135,54.5,,68.8,,1,,1.43471,1.03091,2.40403,0.88691,0.70032,3.99125,3.54078,2.12820,1.41942,0.73838,4.28600,3.66170,2025-08-28,4,4,2,16,1,0,16,2024-06-25,5,5,0,44,1,0,44,23.000,,1,8018.00,0,1,"6300 Roberta Road,Harrisburg,NC,28075",35.3295,-80.647,,2026-04-01
345516,Conover Nursing And Rehabilitation Center,920 4th Street Southwest,Conover,NC,28613,8286958282,170,Catawba,Y,For profit - Corporation,90,76.4,,Medicare and Medicaid,N,BROSIS MANAGEMENT OF CATAWBA COUNTY,2002-06-27,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,3.21064,0.88468,0.64937,1.53404,4.74469,4.07401,0.36712,0.06109,38.6,,26.7,,0,,1.33147,0.95673,2.23105,0.82309,0.64992,3.70406,3.28599,3.33242,0.91823,0.67400,4.92465,4.22854,2025-02-21,4,4,0,16,1,0,16,2023-10-18,0,0,0,0,0,0,0,12.000,0,0,0.00,0,0,"920 4th Street Southwest,Conover,NC,28613",35.7038,-81.232,,2026-04-01
345518,Inn at Quail Haven Village,155 Blake Boulevard,Pinehurst,NC,28374,9102952294,620,Moore,Y,For profit - Limited Liability company,35,43.7,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,2002-09-12,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,Y,,Y,N,N,Resident,Yes,2,,2,,2,,2,,1,,4,,,,2.39973,1.10134,0.60473,1.70607,4.10579,3.41810,0.25566,0.08804,43.4,,20.0,,,26,1.35878,0.97636,2.27681,0.83997,0.66326,3.78004,3.35340,2.44068,1.12014,0.61505,4.17586,3.47643,2025-06-19,4,4,1,20,1,0,20,2024-06-05,2,0,2,8,0,0,8,17.000,,0,0.00,0,0,"155 Blake Boulevard,Pinehurst,NC,28374",35.1708,-79.466,,2026-04-01
345519,Liberty Commons Nursing & Rehabilitation Center of,2315 Highway 242 North,Benson,NC,27504,9192071717,500,Johnston,Y,For profit - Corporation,100,96.1,,Medicare and Medicaid,N,LIBERTY HEALTHCARE GROUP LLC,2002-09-25,LIBERTY SENIOR LIVING,310,37,2.6,2.9,2.1,3.0,N,,N,N,N,Resident,Yes,2,,2,,3,,4,,3,,2,,,,1.88544,1.02507,0.43010,1.45516,3.34060,3.04397,0.17638,0.10389,48.0,,40.0,,0,,1.54535,1.11041,2.58942,0.95530,0.75432,4.29905,3.81383,1.68611,0.91670,0.38463,2.98743,2.72217,2025-11-20,7,7,0,28,1,0,28,2024-07-12,20,6,16,253,1,0,253,84.250,,4,43231.00,1,5,"2315 Highway 242 North,Benson,NC,27504",35.4033,-78.541,,2026-04-01
345520,Magnolia Gardens Center for Nursing and Rehabilita,1028 Blair Street,Thomasville,NC,27360,3364727771,280,Davidson,Y,For profit - Limited Liability company,120,103.8,,Medicare and Medicaid,N,"BLAIR STREET OPERATING COMPANY, LLC",2002-10-31,ALLIANCE HEALTH GROUP,714,11,1.3,1.5,1.6,1.6,N,,N,N,N,Resident,Yes,1,,2,,2,,2,,,2,1,24,,,1.97717,0.81931,0.42294,1.24224,3.21941,2.72564,0.11294,0.02831,49.0,,20.0,,0,,1.29612,0.93133,2.17182,0.80124,0.63267,3.60573,3.19876,2.10812,0.87357,0.45095,3.43265,2.90617,2025-11-18,4,3,1,44,1,0,44,2024-07-11,11,1,11,56,1,0,56,47.000,,1,16153.00,0,1,"1028 Blair Street,Thomasville,NC,27360",35.8901,-80.063,,2026-04-01
345522,Fletcher Rehabilitation and Healthcare Center,86 Old Airport Road,Fletcher,NC,28732,8286549060,440,Henderson,Y,For profit - Limited Liability company,90,71.3,,Medicare and Medicaid,N,FLETCHER OPERATOR LLC,2003-01-29,YAD HEALTHCARE,640,13,1.7,2.2,1.5,2.9,N,,Y,N,N,Resident,Yes,1,,1,,3,,2,,3,,2,,,,1.99802,0.66468,0.61627,1.28095,3.27897,2.75877,0.38046,0.13514,77.0,,76.0,,0,,1.35981,0.97710,2.27854,0.84061,0.66376,3.78290,3.35594,2.03058,0.67552,0.62631,3.33241,2.80373,2025-06-02,20,19,9,144,1,0,144,2024-02-02,11,7,11,52,1,0,52,121.000,,2,67600.00,0,2,"86 Old Airport Road,Fletcher,NC,28732",35.4415,-82.5,,2026-04-01
345523,Ramseur Rehabilitation and Healthcare Center,7166 Jordon Road,Ramseur,NC,27316,3368248828,750,Randolph,Y,For profit - Corporation,90,78.3,,Medicare and Medicaid,N,RAMSEUR OPERATOR LLC,2003-02-19,YAD HEALTHCARE,640,13,1.7,2.2,1.5,2.9,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,4,,2,,,,1.98719,0.96862,0.35931,1.32793,3.31512,3.01070,0.24779,0.10133,48.5,,50.0,,2,,1.28024,0.91992,2.14520,0.79142,0.62492,3.56153,3.15955,2.14511,1.04559,0.38786,3.57856,3.24995,2025-08-01,3,3,1,40,1,0,40,2024-05-17,12,9,5,194,1,0,194,78.500,,3,117925.00,0,3,"7166 Jordon Road,Ramseur,NC,27316",35.7031,-79.624,22,2026-04-01
345525,The Gardens of Taylor Glen Retirement Community,3700 Taylor Glen Lane,Concord,NC,28027,7047886510,120,Cabarrus,Y,Non profit - Corporation,24,2.2,,Medicare,N,BAPTIST RETIREMENT HOMES OF NORTH CAROLINA INCORPORATED,2003-03-11,,,,,,,,Y,,N,N,N,Resident,Yes,4,,4,,,2,,2,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-12-30,1,1,0,4,1,0,4,2024-11-07,2,2,0,12,1,0,12,6.000,,0,0.00,0,0,"3700 Taylor Glen Lane,Concord,NC,28027",35.4118,-80.647,22,2026-04-01
345526,Carolina Rehab Center of Burke,3647 Miller Bridge Road,Connelly Spring,NC,28612,8283973144,110,Burke,Y,For profit - Limited Liability company,90,82.6,,Medicare and Medicaid,N,CAROLINA BURKE OPERATOR LLC,2003-03-25,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,3,,2,,,,2.19969,0.99724,0.63337,1.63061,3.83030,3.44569,0.47671,0.18220,65.4,,72.2,,0,,1.58110,1.13610,2.64933,0.97740,0.77177,4.39850,3.90206,1.92266,0.87165,0.55360,3.34791,3.01174,2025-08-25,4,4,1,28,1,0,28,2024-08-01,12,8,12,80,1,0,80,41.000,,3,26014.00,0,3,"3647 Miller Bridge Road,Connelly Spring,NC,28612",35.7118,-81.47,,2026-04-01
345528,River Landing at Sandy Ridge,1575 John Knox Drive,Colfax,NC,27235,3366684900,400,Guilford,Y,Non profit - Corporation,60,55.5,,Medicare and Medicaid,N,"PRESBYTERIAN HOMES, INC",2003-07-01,,,,,,,,Y,,N,N,N,Resident,Yes,5,,4,,4,,5,,4,,5,,,,3.46497,1.04128,0.92022,1.96150,5.42647,4.79854,0.51780,0.16899,26.3,,12.5,,0,,1.19927,0.86174,2.00953,0.74137,0.58540,3.33630,2.95974,3.99282,1.19991,1.06041,6.25314,5.52955,2026-01-08,2,2,0,8,1,0,8,2024-11-21,1,1,0,4,1,0,4,7.000,,0,0.00,0,0,"1575 John Knox Drive,Colfax,NC,27235",36.0639,-80.014,,2026-04-01
345529,Perry Creek Health and Rehabilitation Center,5201 Clarks Fork Drive,Raleigh,NC,27616,9198727033,910,Wake,Y,For profit - Limited Liability company,132,122.9,,Medicare and Medicaid,N,Legal Business Name Not Available,2004-06-07,LIFEWORKS REHAB,768,62,2.1,2.1,1.5,4.0,N,SFF,N,N,N,Resident,Yes,,18,,18,,18,,18,,18,,18,,,2.23682,0.97455,0.55425,1.52879,3.76561,3.24322,0.35364,0.12486,67.2,,73.3,,3,,1.35457,0.97333,2.26975,0.83737,0.66120,3.76831,3.34300,2.28208,0.99426,0.56546,3.84180,3.30884,2025-08-20,7,6,1,32,1,0,32,2025-02-24,74,28,59,834,2,417,1251,336.750,,3,326170.00,2,5,"5201 Clarks Fork Drive,Raleigh,NC,27616",35.8897,-78.556,,2026-04-01
345530,Penn Nursing Center,618-A S Main Street,Reidsville,NC,27320,3369516090,780,Rockingham,Y,Non profit - Corporation,82,67.4,,Medicare and Medicaid,N,THE MOSES H CONE MEMORIAL HOSPITAL OPERATING CORPORATION,2004-09-02,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,5,,5,,5,,1,25,25,6,,,,,,,,,33.3,,22.2,,0,,,,,,,,,,,,,,2025-01-30,1,1,0,8,1,0,8,2023-10-12,0,0,0,0,0,0,0,6.000,,0,0.00,0,0,"618-A S Main Street,Reidsville,NC,27320",36.3545,-79.666,,2026-04-01
