Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345421,The Laurels of Chatham,Pittsboro,NC,27312,2024-04-17,7,78,35,120,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Ciena Healthcare,0,16,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345423,Wilson Rehabilitation and Nursing Center,Wilson,NC,27893,2025-02-13,12,44,18,74,SNF/NF Distinct Part,No,For Profit - Corporation,Yes,Duke Lifepoint Hospital System,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345425,Fair Haven Home Inc,Bostic,NC,28018,2024-05-08,6,16,7,29,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345426,Valley View Care and Rehabilitation,Andrews,NC,28901,2025-03-14,10,51,8,69,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Consulate Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345428,The Laurels of Salisbury,Salisbury,NC,28147,2025-01-24,10,40,2,52,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Laurel Healthcare Company,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345429,Peak Resources - Pinelake,Carthage,NC,28327,2024-08-21,10,68,8,86,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Peak Resources Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345431,Bryan Health and Rehab,Scotland Neck,NC,27874,2025-04-30,6,35,7,48,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345432,River Bend Health and Rehabilitation,Asheville,NC,28806,2024-06-27,8,64,10,82,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Brighton Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345433,Clay County Health and Rehabilitation,Hayesville,NC,28904,2025-02-27,9,51,22,82,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Consulate Healthcare,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345434,Carver Living Center,Durham,NC,27704,2025-02-07,119,13,45,177,SNF/NF Dual Certification,No,For Profit - LLC,Yes,CCH Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345436,Wellington Rehabilitation and Healthcare,Knightdale,NC,27545,2024-09-04,7,40,24,71,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Avardis,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345437,Eckerd Living Center,Highlands,NC,28741,2025-02-19,7,37,7,51,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Mission Health,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345438,The Laurels of Summit Ridge,Asheville,NC,28805,2025-05-15,18,35,5,58,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Ciena Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345439,"Peak Resources - Brookshire, Inc",Hillsborough,NC,27278,2025-02-28,12,33,31,76,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Peak Resources Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345441,Gastonia Health & Rehab Center,Gastonia,NC,28054,2024-10-24,7,37,1,45,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Saber Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
