Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345000,Autumn Care Of Biscoe,Biscoe,NC,27209,2025-03-13,15,77,10,102,SNF/NF Distinct Part,No,For Profit - LLC,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345001,Hillcrest Convalescent Center,Durham,NC,27705,2025-02-21,62,6,6,74,SNF/NF Distinct Part,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345002,Cypress Pointe Rehabilitation Center,Wilmington,NC,28401,2025-03-20,28,42,7,77,SNF/NF Dual Certification,No,For Profit - Partnership,Yes,Southern Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345003,Silas Creek Rehabilitation Center,Winston Salem,NC,27103,2025-05-02,13,61,8,82,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345004,PERSON MEMORIAL HOSPITAL,ROXBORO,NC,27573,2024-09-19,3,35,6,44,SNF/NF - Medicare/Medicaid,Yes,For Profit - LLC,Yes,"Lifepoint Health, LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345006,Blumenthal Health and Rehabilitation Center,Greensboro,NC,27455,2024-11-01,11,58,61,130,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345010,Bear Mountain Health and Rehabilitation,Asheville,NC,28804,2025-05-09,2,52,11,65,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Ascent Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345011,Pine Acres Center for Nursing and Rehabilitation,Lexington,NC,27292,2024-03-28,2,74,25,101,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Alliance Health Group,0,34,0,0,8,3,2,0,0,Yes,No,No,No,,0,,0,No
345013,Peak Resources - Charlotte,Charlotte,NC,28205,2024-03-21,8,97,16,121,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Peak Resources INC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345014,Linden Place Center for Nursing and Rehabilitation,Greensboro,NC,27401,2024-09-12,13,65,12,90,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345015,Clapp's Convalescent Nursing Home Inc,Asheboro,NC,27203,2024-10-02,17,56,17,90,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345024,Clapps Nursing Center Inc,Pleasant Garden,NC,27313,2024-06-26,11,67,27,105,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345026,Royal Park Rehabilitation & Health Center,Matthews,NC,28105,2024-08-08,12,71,61,144,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare,3,65,8,0,0,19,0,1,0,Yes,No,No,No,,0,,0,No
345036,Elizabeth City Health and Rehabilitation,Elizabeth City,NC,27909,2024-04-05,39,78,39,156,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,17,3,0,0,7,1,0,0,Yes,No,No,No,,0,,0,No
345039,Summerstone Health and Rehabilitation Center,Kernersville,NC,27284,2025-01-10,9,63,37,109,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Liberty Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345044,Saint Joseph of the Pines Health Center,Pinehurst,NC,28374,2024-07-11,25,15,25,65,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Trinity Health,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345045,The Foley Center at Chestnut Ridge,Blowing Rock,NC,28605,2024-07-03,9,43,28,80,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Liberty Healthcare,0,0,0,0,0,9,0,0,0,Yes,No,No,No,,0,,0,No
345048,Mountain Ridge Health and Rehab,Black Mountain,NC,28711,2025-05-30,17,54,12,83,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,"WW Healthcare Consultants, LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345049,Raleigh Rehabilitation Center,Raleigh,NC,27605,2024-12-19,8,95,29,132,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Southern Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345050,Jacob's Creek Nursing and Rehabilitation Center,Madison,NC,27025,2024-09-18,4,115,35,154,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,39,0,3,6,9,0,0,0,Yes,No,No,No,,0,,0,No
345051,Anson Health and Rehabilitation,Wadesboro,NC,28170,2024-10-31,3,53,15,71,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345053,Pettigrew Rehabilitation Center,Durham,NC,27705,2025-03-07,7,58,13,78,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345054,Woodhaven Nursing Center,Lumberton,NC,28358,2024-09-12,7,85,14,106,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Healthcare,0,15,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345061,Pruitthealth-Durham,Durham,NC,27705,2025-04-04,3,76,26,105,SNF/NF Dual Certification,No,For Profit - LLC,Yes,PruittHealth,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345063,Harmony Park at Wilson,Wilson,NC,27893,2025-03-13,5,71,7,83,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345066,Davidson Health & Rehab Center,Lexington,NC,27295,2024-07-25,9,57,23,89,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345070,Durham Nursing & Rehabilitation Center,Durham,NC,27705,2025-01-16,5,63,14,82,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Maximus Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345072,Carolina Rivers Nursing and Rehabilitation Center,Jacksonville,NC,28540,2024-08-16,8,68,19,95,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345077,Sunnybrook Rehabilitation Center,Raleigh,NC,27610,2025-02-20,16,49,22,87,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Southern Healthcare management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345078,Highland Farms,Black Mountain,NC,28711,2024-08-22,6,8,35,49,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,"Givens Estates, INC",0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,Yes
345080,The Greens at Viewmont,Hickory,NC,28601,2025-05-01,21,54,16,91,SNF/NF Dual Certification,No,For Profit - LLC,Yes,CCH,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345081,Accordius Health at Rose Manor LLC,Durham,NC,27704,2025-05-08,6,60,20,86,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345083,Hilltop Health and Rehabilitation,Rutherfordton,NC,28139,2025-01-09,4,64,3,71,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Ascent Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345088,Trinity Glen,Winston-Salem,NC,27101,2025-01-24,13,81,13,107,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345089,Walnut Cove Health and Rehabilitation,Walnut Cove,NC,27052,2024-07-15,5,72,4,81,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Avardis,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345090,Westchester Manor at Providence Place,High Point,NC,27262,2024-05-23,13,87,19,119,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Everyage,0,22,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345091,Edgewood Place at the Village at Brookwood,Burlington,NC,27215,2024-05-10,2,0,16,18,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,kintura,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345092,Willow Valley Center for Nursing and Rehabilitation,Winston-Salem,NC,27104,2024-07-02,14,174,30,218,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345093,Maryfield Nursing Home,High Point,NC,27260,2025-01-31,2,35,78,115,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345095,Chatham Nursing & Rehabilitation,Elkin,NC,28621,2024-11-21,10,61,22,93,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Century Care Management,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345096,Huntersville Oaks,Huntersville,NC,28078,2025-03-14,16,47,27,90,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,Yes,"AHSNF, Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345097,Jesse Helms Nursing Center,Monroe,NC,28111,2024-05-09,17,22,25,64,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,"AHSNF,  INC",1,1,1,0,1,1,0,0,0,Yes,No,No,No,,0,,0,No
345102,Maggie Valley Nursing and Rehabilitation,Maggie Valley,NC,28751,2025-01-14,6,58,33,97,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345103,Matthews Health & Rehab Center,Matthews,NC,28105,2025-02-07,6,68,49,123,SNF/NF Dual Certification,No,For Profit - Corporation,No,,2,14,4,0,0,6,0,0,0,Yes,Yes,No,No,,0,,0,No
345104,Zebulon Rehabilitation Center,Zebulon,NC,27597,2024-06-27,20,29,2,51,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345106,Trinity Ridge,Hickory,NC,28602,2025-03-27,120,0,0,120,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,Yes,Lutheran Services Carolinas,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345109,Trinity Place,Albemarle,NC,28001,2024-10-10,6,26,39,71,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Lutheran Services of the Carolinas,0,10,0,0,0,9,0,0,0,Yes,No,No,No,,0,,0,Yes
345110,Autumn Care of Waynesville,Waynesville,NC,28786,2025-05-22,16,52,19,87,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Saber Healthcare Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345111,Penick Village,Southern Pines,NC,28387,2025-01-23,3,4,17,24,SNF/NF Distinct Part,No,Non-Profit - Other Nonprofit,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345113,Willow Creek Nursing and Rehabilitation Center,Goldsboro,NC,27534,2024-12-06,27,116,17,160,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345115,Salisbury Rehabilitation and Nursing Center,Salisbury,NC,28144,2024-09-27,7,85,15,107,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Twin Pines,2,0,0,0,0,11,0,0,0,Yes,No,No,No,,0,,0,No
345116,Piedmont Hills Center for Nursing and Rehab,Greensboro,NC,27407,2024-12-05,8,84,29,121,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345119,Northchase Nursing and Rehabilitation Center,Wilmington,NC,28405,2024-05-17,29,86,10,125,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345123,Carolina Village Inc,Hendersonville,NC,28792,2025-01-24,12,0,35,47,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345124,PruittHealth-Elkin,Elkin,NC,28621,2025-06-05,23,56,7,86,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,PruittHealth,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345126,Mount Olive Center,Mount Olive,NC,28365,2024-06-27,6,105,17,128,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,10,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345127,White Oak Manor - Tryon,Tryon,NC,28782,2024-07-10,6,39,19,64,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,NHC,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345129,Davie Nursing and Rehabilitation Center,Mocksville,NC,27028,2024-08-09,21,63,3,87,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345130,Accordius Health at Concord,Concord,NC,28025,2024-12-11,1,88,17,106,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Twin Pines,0,43,6,0,5,8,0,20,0,Yes,No,No,No,,0,,0,No
345131,Cedar Hills Center for Nursing and Rehabilitation,Clemmons,NC,27012,2024-11-08,19,57,11,87,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345132,Greenhaven Health and Rehabilitation Center,Greensboro,NC,27406,2024-03-14,1,66,35,102,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345133,Ridge Valley Center for Nursing and Rehabilitation,Wilkesboro,NC,28697,2024-09-11,5,55,20,80,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345134,Pelican Health Randolph LLC,Charlotte,NC,28211,2024-06-27,8,58,15,81,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Twin Pines,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345137,The Lodge at Rocky Mount Health and Rehabilitation,Rocky Mount,NC,27804,2025-02-12,100,0,15,115,SNF/NF Dual Certification,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345138,Lenoir Health and Rehabilitation Center,Lenoir,NC,28645,2024-08-08,5,88,22,115,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345140,Piedmont Health & Rehab Center,Salisbury,NC,28145,2024-07-23,2,4,37,43,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare Group,2,1,3,0,3,6,0,0,0,Yes,No,No,No,,0,,0,No
345142,University Place Nursing and Rehabilitation Center,Charlotte,NC,28262,2024-03-13,2,129,37,168,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle,0,38,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345143,Siler City Center,Siler City,NC,27344,2024-11-07,7,100,25,132,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Genesis,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345144,Pine Ridge Health and Rehabilitation Center,Thomasville,NC,27360,2025-06-05,7,69,13,89,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Principle Ltc,0,29,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345145,The Carrolton of Williamston,Williamston,NC,27892,2024-03-13,6,84,24,114,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,25,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345146,Bethany Woods Nursing and Rehabilitation Center,Albemarle,NC,28002,2024-12-19,3,77,14,94,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345148,Friends Homes at Guilford,Greensboro,NC,27410,2024-10-24,2,9,53,64,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,No,,0,12,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345149,Mill Creek Center for Nursing and Rehabilitation,Winston-Salem,NC,27106,2025-04-14,23,29,4,56,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Alliance Health Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345150,Kenansville Rehabilitation and Healthcare Center,Kenansville,NC,28349,2025-06-16,8,48,28,84,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345151,White Oak Manor-Kings Mountain,Kings Mountain,NC,28086,2024-05-02,4,104,31,139,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,National Healthcare Corporation,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345152,Trinity Village,Hickory,NC,28601,2025-01-15,24,42,30,96,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345153,Trinity Oaks,Salisbury,NC,28144,2025-02-24,6,46,55,107,SNF/NF Dual Certification,No,Non-Profit - Nonprofit Corporation,Yes,Lutheran Services of Carolinas,0,14,0,0,0,5,0,0,0,Yes,No,No,Yes,,0,,0,No
345155,Alpine Health and Rehabilitation of Asheboro,Asheboro,NC,27203,2025-04-02,9,110,9,128,SNF/NF Dual Certification,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345156,Harmony Hall Nursing and Rehabilitation Center,Kinston,NC,28501,2024-10-30,5,80,13,98,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345159,Lincolnton Rehabilitation Center,Lincolnton,NC,28092,2024-04-13,9,76,20,105,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Southern Healthcare Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345160,Davis Health Care Center,Wilmington,NC,28411,2024-02-08,8,54,23,85,SNF/NF Distinct Part,No,Non-Profit - Nonprofit Corporation,No,,0,14,0,0,0,16,0,0,0,Yes,No,No,No,,0,,0,No
345161,Abernathy Laurels,Newton,NC,28658,2024-07-11,7,67,85,159,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,EveryAge,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,Yes
345162,Accordius Health at Gastonia,Gastonia,NC,28052,2025-01-17,0,61,16,77,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345163,Glenbridge Health And Rehabilitation,Boone,NC,28607,2025-02-06,18,61,29,108,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Brighton Healthcare,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345164,Chowan River Nursing and Rehabilitation Center,Edenton,NC,27932,2025-04-02,5,52,9,66,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle LTC,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345165,Autumn Care of Marion,Marion,NC,28752,2024-12-05,26,76,5,107,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345166,Stokes County Nursing Home,Danbury,NC,27016,2024-08-12,0,33,5,38,SNF/NF - Medicare/Medicaid,Yes,For Profit - LLC,Yes,Lifebrite Hospital Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345167,Yadkin Nursing and Care Center,Yadkinville,NC,27055,2024-12-19,4,56,47,107,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Liberty Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345168,Macgregor Downs Health Center by Harborview,Greenville,NC,27834,2025-02-13,47,73,23,143,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Harborview Health Systems,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345169,The Greens at Gastonia,Gastonia,NC,28054,2025-05-05,24,65,8,97,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,CCH,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345170,Crystal Bluffs Rehabilitation and Health Care Center,Morehead City,NC,28557,2024-09-18,23,41,24,88,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Century Care Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345171,White Oak Manor-Shelby,Shelby,NC,28150,2024-05-23,7,59,35,101,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,National Healthcare Corporation,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345172,Meridian Center,High Point,NC,27262,2024-05-17,22,146,0,168,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Genesis Health Care,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345173,Emerald Health & Rehab Center,Lillington,NC,27546,2024-05-28,7,65,19,91,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Saber Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345174,Elevate Health and Rehabilitation,Asheville,NC,28801,2024-08-07,9,67,23,99,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345175,Smithfield Manor Rehabilitation and Healthcare Center,Smithfield,NC,27577,2025-01-24,28,79,32,139,SNF/NF Distinct Part,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345177,The Greens at Pinehurst Rehabilitation & Living Center,Pinehurst,NC,28374,2024-12-05,6,49,26,81,SNF/NF Dual Certification,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345179,Accordius Health at Mooresville,Mooresville,NC,28115,2024-06-13,11,53,17,81,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Twin Pines Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345180,Wesley Pines Retirement Community,Lumberton,NC,28358,2024-11-14,6,32,20,58,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,The United Methodist Retirement Homes,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345181,Greenville Health and Rehabilitation Center,Greenville,NC,27834,2024-05-31,29,48,39,116,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Medical Facilities of America,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345182,Pruitthealth-Crystal Coast,Beaufort,NC,28516,2024-10-03,12,54,13,79,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Pruitt Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345183,Cabarrus Health and Rehabilitation Center,Concord,NC,28025,2024-04-18,17,92,6,115,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Medical Facilities of America,2,12,1,0,4,5,0,0,0,Yes,No,No,No,,0,,0,No
345184,Laurel Park Rehabilitation and Healthcare Center,Elizabeth City,NC,27909,2025-05-21,16,58,14,88,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Yad Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345185,Premier Living and Rehab Center,Lake Waccamaw,NC,28450,2024-07-02,4,46,13,63,SNF/NF - Medicare/Medicaid,No,For Profit - Individual,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345186,Five Oaks Rehabilitation and Care Center,Concord,NC,28027,2025-03-05,20,117,15,152,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,VenzaCare,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345187,Grace Heights Health & Rehabilitation,Morganton,NC,28655,2024-09-11,10,47,39,96,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Sanstone,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345190,Murphy Rehabilitation & Nursing,Murphy,NC,28906,2024-12-19,22,63,31,116,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Century Care Management,0,14,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,Yes
345191,Surry Community Health Center by Harborview,Mount Airy,NC,27030,2025-06-11,12,70,26,108,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Harborview,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345192,Longleaf Neuro-Medical Treatment Center,Wilson,NC,27893,2025-06-18,0,78,9,87,SNF/NF Dual Certification,No,Government - State,Yes,State of North Carolina,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345193,Mountain View Manor Nursing Center,Bryson City,NC,28713,2025-04-17,8,34,38,80,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Diversicare,0,26,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345194,Glenflora,Lumberton,NC,28360,2024-12-12,5,35,7,47,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,Yes,Lutheran Services of the Carolinas,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345195,Edgecombe Health Center by Harborview,Tarboro,NC,27886,2025-03-13,30,91,17,138,SNF/NF Dual Certification,No,For Profit - Individual,Yes,Harborwiew Health Systems,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
