rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days Other,Total Days Total,Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges Title Other,Total Discharges Total,SNF Average Length of Stay Title V,SNF Average Length of Stay Title XVIII,SNF Average Length of Stay Title XIX,SNF Average Length of Stay Total,SNF Admissions Title V,SNF Admissions Title XVIII,SNF Admissions Title XIX,SNF Admissions Other,SNF Admissions Total,SNF Days Title V,SNF Days Title XVIII,SNF Days Title XIX,SNF Days Other,SNF Days Total,SNF Number of Beds,SNF Bed Days Available,SNF Discharges Title V,SNF Discharges Title XVIII,SNF Discharges Title XIX,SNF Discharges Title Other,SNF Discharges Total,NF Number of Beds,NF Bed Days Available,NF Days Title V,NF Days Title XIX,NF Days Other,NF Days Total,NF Discharges Title V,NF Discharges Title XIX,NF Discharges Title Other,NF Discharges Total,NF Average Length of Stay Title V,NF Average Length of Stay Title XIX,NF Average Length of Stay Total,NF Admissions Title V,NF Admissions Title XIX,NF Admissions Other,NF Admissions Total,Total RUG Days,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Total Charges,Total Costs,Wage-related Costs (core),Total Salaries (adjusted),Contract Labor,Cash on hand and in banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for uncollectible notes and accounts receivable,Inventory,Prepaid expenses,Other current assets,Total Current Assets,Land,Land improvements,Buildings,Leasehold improvements,Fixed equipment,Major movable equipment,Minor equipment depreciable,Total fixed Assets,Investments,Other Assets,Total other Assets,Total Assets,Accounts payable,"Salaries, wages, and fees payable",Payroll taxes payable,Notes and Loans Payable (short term),Deferred income,Other current liabilities,Total current liabilities,Mortgage payable,Notes Payable,Unsecured Loans,Other long term liabilities,Total long term liabilities,Total liabilities,General fund balance,Total fund balances,Total Liabilities and fund balances,Total General Inpatient Care Services Revenue,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from service to patients,Total Other Income,Total Income,Net Income,Inpatient PPS Amount,Nursing and Allied Health Education Activities,Allowable Bad Debts
1384970,345066,DAVIDSON HEALTH & REHAB,4748 OLD LEXINGTON ROAD,LEXINGTON,NC,27295,DAVIDSON,49180,U,2022-12-01,2023-12-31,4,,2219,18766,15731,36716,100,39600,,48,35,137,220,,46.23,536.17,166.89,,72,9,152,233,,2219,18766,15731,36716,100,39600,,48,35,137,220,,,,,,,,,,,,,,,,,,,4456327,8266741,3018599,1206900,621919,4456327,2863223,12534,,,1627517,243636,,11339,,1409399,,,,22300,,66321,,78969,,16645,16645,1505013,496712,157922,34473,,,802,689909,,,,,255272,945181,559832,559832,1505013,10338261,13397958,,13397958,238269,13159689,12723068,436621,123211,559832,559832,1241518,,39756
1384971,345083,HILLTOP HEALTH AND REHABILITATION (A,188 OSCAR JUSTICE ROAD,RUTHERFORDTON,NC,28139,RUTHERFORD,99934,R,2023-01-01,2023-12-31,4,,2093,16975,7218,26286,80,29200,,50,69,134,253,,41.86,246.01,103.9,,71,54,130,255,,2093,16975,7218,26286,80,29200,,50,69,134,253,,,,,,,,,,,,,,,,,,,2483322,6628478,846312,829071,297035,2483322,1543980,7574,,,1418910,,,13236,,1610935,,,,4852,103796,13983,,109935,,53843,53843,1774713,1520903,62148,5018,,,18419,1606488,,,,7074,7074,1613562,161151,161151,1774713,8732409,9602321,,9602321,478730,9123591,9111800,11791,-24477,-12686,-12686,1178674,,132107
1384974,345103,MATTHEWS HEALTH & REHAB,600 FULLWOOD LANE,MATTHEWS,NC,28105,MECKLENBURG,16740,U,2022-12-01,2023-12-31,4,,6126,28333,15735,50194,176,69696,,156,91,230,477,,39.27,311.35,102.93,,237,40,210,487,,6126,28333,13816,48275,166,65736,,156,91,222,469,,,,,,,,,,,,,,,,,,,8753149,9009395,5128525,1542340,1021739,8753149,1107712,56593,,,2593181,464719,,17751,,2210318,,,,49002,,144083,,170078,,10917,10917,2391313,591466,254189,52577,,,4793,903025,,,,,900383,1803408,587905,587905,2391313,15127565,20293748,,20293748,2119099,18174649,17762544,412105,175800,587905,587905,3530104,,63055
1384976,345208,SAPPHIRE RIDGE HEALTH AND REHAB,115 N COUNTRY CLUB ROAD,BREVARD,NC,28712,TRANSYLVANIA,99934,R,2023-01-01,2023-12-31,4,,900,22711,4734,28345,147,53655,,18,70,55,143,,50,324.44,198.22,,36,57,71,164,,900,22711,4734,28345,147,53655,,18,70,55,143,,,,,,,,,,,,,,,,,,,1473869,8320199,755983,702426,150508,1473869,4281558,,,,1204729,,,23676,,1546280,,,,59071,84602,13287,,141293,,77375,77375,1764948,1975370,63826,2637,,,-2,2044305,,,,,,2044305,-279357,-279357,1764948,8916401,9672384,,9672384,211053,9461331,9794068,-332737,-2130,-334867,-334867,499878,,93302
1384978,345282,AHSNF - CLEVELAND PINES,1404 NORTH LAFAYETTE STREET,SHELBY,NC,28150,CLEVELAND,99934,R,2023-01-01,2023-12-31,2,,1528,22655,8578,32761,120,43800,,39,70,101,210,,39.18,323.64,156,,148,39,5,192,,1528,22655,8578,32761,120,43800,,39,70,101,210,,,,,,,,,,,,,,,,,,,6528938,7076468,2469421,1343949,1451867,6528938,636048,200,,,1198586,417658,750,10301,,-1745211,129158,526231,6604766,21493,1456679,,,2796599,,,,1051388,138818,,,,,6482,145300,,,,,,145300,906088,906088,1051388,6491424,8960844,,8960844,170104,8790740,13605406,-4814666,64712,-4749954,-4749954,780817,,58773
1384981,345441,GASTONIA HEALTH & REHAB,1770 OAK HOLLOW ROAD,GASTONIA,NC,28054,GASTON,16740,U,2022-12-01,2023-12-31,4,,669,11276,11677,23622,100,39600,,20,50,91,161,,33.45,225.52,115.46,,30,42,69,141,,669,11276,5027,16972,60,23760,,20,50,77,147,,,,,,,,,,,,,,,,,,,2995287,4767177,1430327,502946,339996,2995287,1531481,15353,,,1025393,166077,,7982,,887801,,,,63038,,51642,,105603,,16180,16180,1009584,279172,74778,19297,,,626,373873,,,,,1643080,2016953,-1007369,-1007369,1009584,6107598,7588088,,7588088,930108,6657980,7762464,-1104484,97115,-1007369,-1007369,311779,,30724
1384982,345529,UNIVERSAL HEALTHCARE/NORTH RALEIGH,5201 CLARKS FORK DRIVE NW,RALEIGH,NC,27616,WAKE,39580,U,2023-01-01,2023-12-31,4,,1498,26298,9843,37639,132,48180,,25,81,154,260,,59.92,324.67,144.77,,41,59,157,257,,1498,26298,9843,37639,132,48180,,25,81,154,260,,,,,,,,,,,,,,,,,,,4933994,5938976,1531493,1416921,635375,4933994,,-7903289,,,3234448,,19294,28025,-22719,3002339,,16618,,194907,,452718,,257709,,,,3260048,702079,126896,81618,1680,,6215,281166,,,,,,281166,2978882,2978882,3260048,8793266,10241534,,10241534,-1293480,11535014,10872970,662044,561153,1223197,1223197,939800,,71846
1385540,345115,SALISBURY REHABILITATION AND NURSING,635 STATESVILLE BOULEVARD,SALISBURY,NC,28144,ROWAN,16740,U,2023-01-01,2023-12-31,4,,1825,40062,6689,48576,185,67525,,26,148,108,282,,70.19,270.69,172.26,,46,110,110,266,,1825,40062,6689,48576,185,67525,,26,148,108,282,,,,,,,,,,,,,,,,,,,4468046,10466396,624255,729713,498930,4468046,3427847,84590,,,3457467,,,114996,,2112068,,79165,,982807,350387,93896,,960751,,261507,278745,3351564,2793877,116397,7825,,,28182,2927447,,,,87413,87413,3014860,336704,336704,3351564,13749300,14699864,,14699864,251839,14448025,14934442,-486417,21269,-465148,-465148,1136302,,214747
1385541,345116,PIEDMONT HILLS NURSING AND REHAB,109 SOUTH HOLDEN ROAD,GREENSBORO,NC,27407,GUILFORD,24660,U,2023-01-01,2023-12-31,4,,1365,31096,5349,37810,126,45990,,33,141,124,298,,41.36,220.54,126.88,,42,127,145,314,,1365,31096,5349,37810,126,45990,,33,141,124,298,,,,,,,,,,,,,,,,,,,2710552,9628147,781875,804116,347541,2710552,3370922,-77995,,,4430630,,,-164682,,4080816,,3800,,2585098,328806,96200,,2233987,,305403,305563,6620366,3686289,101446,5821,,,113591,3907147,,,,34134,34134,3941281,2679085,2679085,6620366,12285588,13164312,,13164312,352310,12812002,12338700,473302,-7676,465626,465626,818542,,98593
1385542,345149,MILL CREEK CENTER NURSING AND REHAB,4911 BRIAN CENTER LANE,WINSTON SALEM,NC,27106,FORSYTH,49180,U,2023-01-01,2023-12-31,4,,2677,12167,6807,21651,80,29200,,76,113,309,498,,35.22,107.67,43.48,,92,86,318,496,,2677,12167,6807,21651,80,29200,,76,113,309,498,,,,,,,,,,,,,,,,,,,3138134,5114560,831678,942029,399457,3138134,861863,-11526,,,1687445,,,333497,,1356436,,,,1348013,395967,75275,,1273041,,167765,178830,2808307,3535342,85804,8098,,,28419,3657663,,,,-4236,-4236,3653427,-845120,-845120,2808307,8145279,8976957,,8976957,554707,8422250,8252694,169556,-33150,136406,136406,1693479,,94426
1385545,345243,EASTLAND NURSING CNTR(AH CHARLOTTE),5939 REDDMAN ROAD,CHARLOTTE,NC,28212,MECKLENBURG,16740,U,2023-01-01,2023-12-31,4,,1501,25207,5377,32085,120,43800,,37,114,106,257,,40.57,221.11,124.84,,52,94,119,265,,1501,25207,5377,32085,120,43800,,37,114,106,257,,,,,,,,,,,,,,,,,,,4247586,7362141,804742,833418,466977,4247586,631323,12074,,,2389915,,,1174835,,8655377,,12750,,1865599,380816,84313,,1744252,,131218,142481,10542110,5608835,112524,4662,,,52585,5777057,,,,54654,54654,5831711,4710399,4710399,10542110,10942082,11845689,,11845689,256285,11589404,11609727,-20323,2251,-18072,-18072,845864,,126469
1385546,345261,LOTUS VILLAGE CTR NURSING AND REHAB,179 COMBS STREET,SPARTA,NC,28675,ALLEGHANY,99934,R,2023-07-01,2023-12-31,4,,460,12487,1804,14751,90,16470,,9,32,37,78,,51.11,390.22,189.12,,13,24,45,82,,460,12487,1804,14751,90,16470,,9,32,37,78,,,,,,,,,,,,,,,,,,,1280498,3778187,214840,257450,273715,1280498,1682572,-15162,,,1137053,,,109264,,703052,,,,10140,54694,104666,,189213,,104817,104817,997082,1568562,71398,7084,,,5688,1652732,,,,,,1652732,-655650,-655650,997082,4423772,4641966,,4641966,146312,4495654,5058685,-563031,-7454,-570485,-570485,254729,,65880
1385547,345304,SHAMROCK NURSING CENTER (AH MIDWOOD),2727 SHAMROCK DRIVE,CHARLOTTE,NC,28205,MECKLENBURG,16740,U,2023-01-01,2023-12-31,4,,715,15563,2370,18648,100,36500,,6,103,49,158,,119.17,151.1,118.03,,16,93,49,158,,715,15563,2370,18648,100,36500,,6,103,49,158,,,,,,,,,,,,,,,,,,,1801174,6195919,551434,563657,245900,1801174,1818290,-93779,,,1809050,,,222535,,1988351,,,,595485,444386,73570,,678739,,193897,204962,2872052,2413581,43410,3422,,,23977,2484390,,,,26957,26957,2511347,360705,360705,2872052,6369300,6920979,,6920979,90160,6830819,7997093,-1166274,28815,-1137459,-1137459,408777,,61717
1385548,345362,GREENS AT CABARRUS,250 BISHOP LANE,CONCORD,NC,28025,CABARRUS,16740,U,2023-01-01,2023-12-31,4,,4056,16762,9275,30093,90,32850,,182,58,433,673,,22.29,289,44.71,,176,58,430,664,,4056,16762,9275,30093,90,32850,,182,58,433,673,,,,,,,,,,,,,,,,,,,3664170,6861167,1478925,1739676,582366,3664170,1356311,162758,,,2130171,,,117781,,2407652,,,,172436,189369,,,320071,,60000,60000,2787723,442043,154404,,,,153961,750408,,8277,,,-172775,577633,2210090,2210090,2787723,11751827,13230752,,13230752,1169279,12061473,10525337,1536136,18102,1554238,1554238,2698860,,135759
1385991,345010,BEAR MOUNTAIN HEALTH AND REHAB,500 BEAVERDAM ROAD,ASHEVILLE,NC,28804,BUNCOMBE,11700,U,2023-01-01,2023-12-31,4,,976,19125,3041,23142,77,28105,,8,101,35,144,,122,189.36,160.71,,23,90,38,151,,976,19125,3041,23142,77,28105,,8,101,35,144,,,,,,,,,,,,,,,,,,,1712691,6694628,858848,801449,234964,1712691,2505443,,,,1784858,,,11456,,1813667,,,,14411,107417,10256,,118141,,3877,3877,1935685,2930369,43525,3620,,,11286,2988800,,,,,,2988800,-1053115,-1053115,1935685,7106849,7965698,,7965698,464853,7500845,8407319,-906474,-12908,-919382,-919382,500537,,96333
1385993,345223,VALLEY HILL HEALTH AND REHAB,1510 HEBRON ROAD,HENDERSONVILLE,NC,28739,HENDERSON,11700,U,2023-01-01,2023-12-31,4,,1136,22919,4527,28582,130,47450,,14,63,39,116,,81.14,363.79,246.4,,32,42,47,121,,1136,22919,4527,28582,130,47450,,14,63,39,116,,,,,,,,,,,,,,,,,,,2985767,7105763,1392608,583054,407405,2985767,3682758,47941,,,1190508,273133,,15921,,986715,,,,107716,,79571,,171224,,11687440,11687440,12845379,525504,127784,30494,,,2667,686449,,,,11867113,13040857,13727306,-881927,-881927,12845379,8054572,9447184,,9447184,236587,9210597,10091530,-880933,589,-880344,-880344,621736,,58326
1386435,345011,PINE ACRES CENTER NURSING AND REHAB,279 BRIAN CENTER DRIVE,LEXINGTON,NC,27292,DAVIDSON,49180,U,2023-01-01,2023-12-31,4,,1284,25179,8691,35154,106,38690,,35,156,292,483,,36.69,161.4,72.78,,57,139,293,489,,1284,25179,8691,35154,106,38690,,35,156,292,483,,,,,,,,,,,,,,,,,,,3247402,8087646,797980,962250,385123,3247402,2342224,50150,,,1544060,,,-171874,,3929755,,,,534693,328494,79945,,519510,,203177,214242,4663507,2428628,101067,3662,,,42496,2579082,,,,14657,14657,2593739,2069768,2069768,4663507,11945010,12978730,,12978730,563491,12415239,11335048,1080191,110622,1190813,1190813,822424,,32390
1387042,345145,THE CARROLTON AT WILLIAMSTON,119 GATLING STREET,WILLIAMSTON,NC,27892,MARTIN,99934,R,2023-01-01,2023-12-31,4,,1656,31165,2965,35786,154,56210,,25,27,110,162,,66.24,1154.26,220.9,,37,27,105,169,,1656,31165,2965,35786,154,56210,,25,27,110,162,,,,,,,,,,,,,,,,,,,3446540,8893042,2703645,1668293,494722,3446540,761390,-97914,,,1434945,577868,,,,2819366,,,,11435,,185334,,119099,,231,231,2938696,1320612,-63002,-15351,,21585,-126502,2103122,,982647,,,1037641,3140763,-202067,-202067,2938696,7905219,10846088,,10846088,-407396,11253484,12339582,-1086098,1268488,182390,182390,878111,,108296
1387043,345193,MOUNTAIN VIEW MANOR,410 BUCKNER BRANCH ROAD,BRYSON CITY,NC,28713,SWAIN,99934,R,2023-01-01,2023-12-31,4,,1783,18930,5715,26428,120,43800,,27,63,73,163,,66.04,300.48,162.13,,45,32,96,173,,1783,18930,5715,26428,120,43800,,27,63,73,163,,,,,,,,,,,,,,,,,,,4931320,4857188,1288577,754950,807624,4931320,,297202,,,1268045,20000,57990,148808,,2716399,,,,532393,638733,,,403855,,9165,9165,3129419,984369,159873,,,,15733,1159975,,,,,,1159975,1969444,1969444,3129419,5572588,6849311,,6849311,-1948610,8797921,9788508,-990587,13156,-977431,-977431,851101,,118420
1387046,345266,THE CARROLTON OF PLYMOUTH,1084 US 64 EAST,PLYMOUTH,NC,27962,WASHINGTON,99934,R,2023-01-01,2023-12-31,4,,1328,23779,3018,28125,123,44895,,29,78,58,165,,45.79,304.86,173.24,,44,20,84,148,,1328,23779,2958,28065,114,41610,,29,78,55,162,,,,,,,,,,,,,,,,,,,2798716,7503507,3180482,1536236,540994,2798716,946513,-55896,,,1137997,534556,,,,4636937,,,,1535,,155391,,93713,,,,4730650,1217401,-1354,-8628,,126241,5698,2497172,,591531,,,601614,3098786,1631864,1631864,4730650,7020400,10254572,,10254572,582808,9671764,10302223,-630459,1259657,629198,629198,682817,,103162
1387047,345279,THE CARROLTON AT NASH,7369 HUNTER HILL ROAD,ROCKY MOUNT,NC,27804,NASH,40580,U,2023-01-01,2023-12-31,4,,3265,30669,5932,39866,150,54750,,79,42,188,309,,41.33,730.21,130.2,,92,20,196,308,,3265,30669,5907,39841,141,51465,,79,42,185,306,,,,,,,,,,,,,,,,,,,4713619,9532835,3792363,2159128,824930,4713619,1013096,-159120,,,2105128,442267,,,,4434206,,,,13034,,228627,,154975,,,,4589181,1440837,18947,-27144,,288514,34767,3702755,,1037964,,,1142228,4844983,-255802,-255802,4589181,11330985,15714085,,15714085,2483203,13230882,14246454,-1015572,1916756,901184,901184,1802543,,184473
1387048,345315,THE CARROLTON AT LUMBERTON,1170 LINKHAW ROAD,LUMBERTON,NC,28358,ROBESON,99934,R,2023-01-01,2023-12-31,4,,2211,14702,2800,19713,95,34675,,37,29,103,169,,59.76,506.97,114.21,,43,56,134,233,,2211,14702,2160,19073,90,32850,,37,29,101,167,,,,,,,,,,,,,,,,,,,3196325,6062169,1753865,1558594,480624,3196325,827136,-83625,,,1161495,264200,,8867,,-915766,,,,270671,,479522,,656031,,,,-259735,995421,-8982,-700,,,-46408,4224576,,281601,,,281701,4506277,-4766012,-4766012,-259735,6479187,8418310,,8418310,1027225,7391085,9258494,-1867409,13041,-1854368,-1854368,1166160,,84089
1387049,345325,THE CARROLTON OF DUNN,711 SUSAN TART ROAD,DUNN,NC,28334,HARNETT,22180,U,2023-01-01,2023-12-31,4,,1362,22228,5786,29376,108,39420,,30,34,139,203,,45.4,653.76,140.54,,29,33,133,195,,1362,22228,4659,28249,100,36500,,30,34,137,201,,,,,,,,,,,,,,,,,,,3508034,8133866,3537909,1890693,595100,3508034,1042582,-62118,,,1157066,,,,,6091095,,,,1535,,165141,,103563,,303,303,6194961,991020,-30730,-14938,,,-61781,1570578,,421189,,,470835,2041413,4153548,4153548,6194961,9167448,13058047,,13058047,258326,12799721,11641900,1157821,1418168,2575989,2575989,731379,,32530
1387453,345179,ACCORDIUS HEALTH AT MOORESVILLE,752 EAST CENTER AVENUE,MOORESVILLE,NC,28115,IREDELL,16740,U,2023-01-01,2023-12-31,4,,2002,24429,5769,32200,131,47815,,62,78,108,248,,32.29,313.19,129.84,,75,81,111,267,,2002,24429,5769,32200,131,47815,,62,78,108,248,,,,,,,,,,,,,,,,,,,3031018,8804994,647600,761851,403111,3031018,3467067,-4252,,,2800420,,,270660,,3033034,,1400,,1033724,581555,98704,,1559333,,228760,240025,4832392,6857040,93308,77571,,,5735,7033654,,,,33800,33800,7067454,-2235062,-2235062,4832392,10614269,11423153,,11423153,487378,10935775,11836012,-900237,-3270,-903507,-903507,1241669,,104965
1387454,345283,GLENWOOD REHABILITATION AND NURSING,500 GLENWOOD DRIVE,MOORESVILLE,NC,28115,IREDELL,16740,U,2023-01-01,2023-12-31,4,,3200,23928,11564,38692,160,58400,,94,111,197,402,,34.04,215.57,92.04,,112,77,215,404,,3200,23928,9226,36354,130,47450,,94,111,190,395,,,,,,,,,,,,,,,,,,,4018132,10422237,788453,1241023,453733,4018132,3416334,118338,,,2311237,,,34236,,-892088,,,,1203004,259089,106288,,1984206,,89604,89388,1181506,1706137,124229,10448,,,40781,1881595,,,,42723,42723,1924318,-742812,-742812,1181506,12553006,13587121,,13587121,410308,13176813,14440369,-1263556,45520,-1218036,-1218036,1953924,,176663
1387776,345302,VERO HEALTH & REHAB OF SYLVA,417 CLOVERDALE ROAD,SYLVA,NC,28779,JACKSON,99934,R,2023-01-01,2023-12-31,4,,2509,24677,3254,30440,106,38690,,43,37,113,193,,58.35,666.95,157.72,,48,50,102,200,,2509,24677,3254,30440,106,38690,,43,37,113,193,,,,,,,,,,,,,,,,,,,3572119,6272351,1982933,1305651,666138,3572119,,101552,,,4567954,2014710,,54794,,2943161,,,,329572,,368863,,460957,,37092,233758,3637876,837945,164306,12569,-7859,,-54287,952674,,,,,,952674,2685202,2685202,3637876,6884565,8867498,,8867498,-1336105,10203603,10220818,-17215,4089,-13126,-13126,1003803,,129852
1387777,345345,ACCORDIUS HEALTH AT MONROE,204 OLD HIGHWAY 74 EAST,MONROE,NC,28112,UNION,16740,U,2023-01-01,2023-12-31,4,,1397,13198,3995,18590,72,26280,,25,55,71,151,,55.88,239.96,122.88,,43,32,70,145,,1397,13198,3714,18309,60,21900,,25,55,69,149,,,,,,,,,,,,,,,,,,,1385599,5702936,601141,540778,183172,1385599,1834394,-25278,,,813369,,,505793,,3615407,,,,583001,283584,74020,,581070,,145998,158058,4354535,1416542,36482,1913,,,12767,1467704,,,,101366,101366,1569070,2785465,2785465,4354535,6137572,6744345,,6744345,198687,6545658,7088535,-542877,-15162,-558039,-558039,829463,,103930
1389186,345326,WILLOWBROOKE COURT AT MATTHEWS GLEN,733 PLANTATION ESTATES DRIVE,MATTHEWS,NC,28105,MECKLENBURG,16740,U,2023-01-01,2023-12-31,2,,1046,,27640,28686,90,32850,,50,,110,160,,20.92,,48.44,,50,,10,60,,1046,,1957,3003,15,5475,,50,,12,62,75,27375,,,25683,25683,,,98,98,,,262.07,,,88,88,,14317349,21489713,2013626,2200159,2730350,14317349,320352,2000,,,746521,139714,38176,47431,-25288214,-23758700,12588223,2679078,250422637,,11864534,,,246174387,,16002589,16002589,238418276,8669540,622670,,,89739509,-657965,98373754,,,,,,98373754,140044522,140044522,238418276,7109172,50482103,,50482103,6576932,43905171,35807062,8098109,1873908,9972017,9972017,597557,,
1389187,345356,RICH SQUIARE OPERATIONS LLC,300 N MAIN ST,RICH SQUARE,NC,27869,NORTHHAMPTON,99934,R,2023-01-01,2023-12-31,5,,2890,14130,2716,19736,69,25185,,51,65,62,178,,56.67,217.38,110.88,,77,20,51,148,,2890,14130,2716,19736,69,25185,,51,65,62,178,,,,,,,,,,,,,,,,,,,2053047,4758859,1825536,959711,355254,2053047,,-36504,,,871103,32597,,6309,62485,4004871,,,,67377,4382,219587,,101152,,,,4106023,379039,102329,,,,107306,588674,,,,,,588674,3517349,3517349,4106023,6783003,8735787,,8735787,1678245,7057542,6811906,245636,10008,255644,255644,1589228,,211878
1389188,345459,WILLOWBROOKE COURT AT TRYON ESTATES,617 LAUREL LAKE DRIVE,COLUMBUS,NC,28722,POLK,99934,R,2023-01-01,2023-12-31,2,,559,,11216,11775,52,18980,,27,,43,70,,20.7,,162.5,,19,,50,69,,559,,10166,10725,16,15668,,27,,39,66,36,3312,,,1050,1050,,,4,4,,,262.5,,,5,5,,7076817,11178971,793929,956800,1512788,7076817,10561,2961,,,704637,218931,29449,1650,,546358,930068,1945694,108213769,,5016773,,,58404721,,3876062,3876062,62827141,243354,327543,,,37008203,-26111472,11467628,,,,9,9,11467637,51359504,51359504,62827141,3973711,25662505,,25662505,3540486,22122019,18255788,3866231,1152100,5018331,5018331,315953,,
1389421,345131,CEDAR HILLS HEALTH AN REHABILITATION,3905 CLEMMONS ROAD,CLEMMONS,NC,27012,FORSYTH,49180,U,2023-01-01,2023-12-31,4,,969,22009,6342,29320,94,34310,,37,139,212,388,,26.19,158.34,75.57,,51,136,215,402,,969,22009,6342,29320,94,34310,,37,139,212,388,,,,,,,,,,,,,,,,,,,1893460,8931125,616831,644857,249528,1893460,3783975,-253043,,,1969951,,,-394403,,3027724,,12675,,2053530,515663,33376,,2030715,,457186,470883,5529322,6385254,67433,8303,,,54972,6515962,,,,26549,26549,6542511,-1013189,-1013189,5529322,9377861,10188508,,10188508,458466,9730042,10824585,-1094543,3923,-1090620,-1090620,642532,,126543
1389540,345539,THE ARBOR,3000 GALLOWAY RIDGE,PITTSBORO,NC,27312,CHATHAM,20500,U,2023-01-01,2023-12-31,2,,554,,9738,10292,58,21170,,14,,37,51,,39.57,,51,,28,,38,66,,554,,1843,2397,16,5840,,14,,33,47,,,,,,,,,,,,,,,,,,,12242152,23238589,895778,1540620,2470343,12242152,2178697,378731,,,1208404,346000,344920,310737,,2280611,5690693,898635,125012371,,,10727675,,99641628,,38052563,38052563,139974802,2071805,511741,,2075715,92563552,2971029,100193842,,66842135,,,66842135,167035977,-27061175,-27061175,139974802,3908256,32738007,,32738007,169810,32568197,35480741,-2912544,5053509,2140965,2140965,339438,,
1389541,345572,THE CARDINAL AT NORTH HILLS,311 CARDINAL AT NORTH HILLS STREET,RALEIGH,NC,27609,DARE,99934,R,2023-01-01,2023-12-31,6,,1284,,18337,19621,70,25550,,51,,62,113,,25.18,,49.43,,50,,38,88,,1284,,3016,4300,15,5475,,51,,36,87,,,,,,,,,,,,,,,,,,,6142824,18589811,829572,831180,897401,6142824,266832,371860,,,280980,73417,,178307,,1332340,,46451,,1666731,760186,195533,,1873683,,92367946,92384357,95590380,45950,410866,,,136033,7072431,8089493,,,,85445943,85445943,93535436,2054944,2054944,95590380,3191216,4020788,,4020788,995822,3024966,24732635,-21707669,21035684,-671985,-671985,699715,,
1389638,345199,CAROL WOODS HEALTH CARE,750 WEAVER DAIRY ROAD,CHAPEL HILL,NC,27514,ORANGE,20500,U,2023-01-01,2023-12-31,2,,947,,32365,33312,119,43435,,28,,276,304,,33.82,,31.07,,44,,167,211,,947,,5640,6587,30,10950,,28,,184,212,,,,,,,,,,,,,,,,,,,15054021,19205698,877903,1351068,2914390,15054021,6415,153884,,,1554668,90000,226920,307550,2528386,5009879,4453189,6784721,46511216,46526068,3336245,9281313,,62588676,56905733,,56905733,124504288,1333153,2205567,,5101624,,335097,8975441,,26202922,,53159586,79362508,88337949,36166339,36166339,124504288,10259049,36335497,,36335497,7225960,29109537,34259719,-5150182,10387475,5237293,4669244,515868,,
1389640,345500,WINDSOR POINT  CCRC,1221 BROAD STREET,FUQUAY VARINA,NC,27526,WAKE,39580,U,2023-01-01,2023-12-31,4,,922,,23172,24094,100,36500,,7,,90,97,,131.71,,197.85,,45,,22,67,,922,,7190,8112,45,16425,,7,,34,41,,,,,,,,,,,,,,,,,,,2268866,1920745,300977,336302,220956,2268866,,11845818,,,400132,275000,,48841,310655,12330446,,,,1998172,1016573,,,1585326,2848852,12818841,16215833,30131605,286650,250526,1586,,1208467,2984911,4732140,,,,16863516,16863516,21595656,8535949,8535949,30131605,4636217,5011143,,5011143,226409,4784734,4189611,595123,995264,1590387,1590387,466099,,
1389641,345544,ALDERSGATE UNITED METHODIST RETIREME,3800 SHAMROCK DRIVE,CHARLOTTE,NC,28215,MECKLENBURG,16740,U,2023-01-01,2023-12-31,4,,10684,3583,60309,74576,230,83950,,403,8,425,836,,26.51,447.88,50.08,,431,5,324,760,,10684,3583,24895,39162,120,43800,,403,8,371,782,,,,,,,,,,,,,,,,,,,17425240,31167133,5082612,3647820,1890943,17425240,1589166,3037675,,,5888259,1969989,114444,250241,5780758,14731119,3392785,9766065,166693029,,20182886,,,107776891,,22029317,22029317,144537327,4498160,1525044,,3356250,27386197,1394367,38198342,,66157864,,83003116,149160980,187359322,-42821995,-42821995,144537327,24318718,29401330,,29401330,5378524,24022806,48592373,-24569567,26137502,1567935,1567935,5890311,,
1389642,345564,SHARON TOWERS,5100 SHARON ROAD,CHARLOTTE,NC,28210,MECKLENBURG,16740,U,2023-01-01,2023-12-31,2,,2073,,30498,32571,136,49640,,89,,107,196,,23.29,,22.34,,102,,27,129,,2073,,898,2971,19,6935,,89,,44,133,77,28105,,,17000,17000,,,43,43,,,395.35,,,66,66,,11416650,23506772,1967505,1878377,2009406,11416650,1720811,12327678,,,1446680,150000,,548986,,21637014,,5997089,175110847,,6610430,,,163682573,19029958,7600558,26630516,211950103,2805908,903049,,,60125737,1756861,65591555,,81475183,,5000000,86475183,152066738,59883365,59883365,211950103,8874112,10841617,,10841617,271712,10569905,34923422,-24353517,28352767,3999250,3801363,1285525,,
