ENROLLMENT ID,ASSOCIATE ID,ORGANIZATION NAME,ASSOCIATE ID - OWNER,TYPE - OWNER,ROLE CODE - OWNER,ROLE TEXT - OWNER,ASSOCIATION DATE - OWNER,FIRST NAME - OWNER,MIDDLE NAME - OWNER,LAST NAME - OWNER,TITLE - OWNER,ORGANIZATION NAME - OWNER,DOING BUSINESS AS NAME - OWNER,ADDRESS LINE 1 - OWNER,ADDRESS LINE 2 - OWNER,CITY - OWNER,STATE - OWNER,ZIP CODE - OWNER,PERCENTAGE OWNERSHIP,CREATED FOR ACQUISITION - OWNER,CORPORATION - OWNER,LLC - OWNER,MEDICAL PROVIDER SUPPLIER - OWNER,MANAGEMENT SERVICES COMPANY - OWNER,MEDICAL STAFFING COMPANY - OWNER,HOLDING COMPANY - OWNER,INVESTMENT FIRM - OWNER,FINANCIAL INSTITUTION - OWNER,CONSULTING FIRM - OWNER,FOR PROFIT - OWNER,NON PROFIT - OWNER,PRIVATE EQUITY COMPANY - OWNER,REIT - OWNER,CHAIN HOME OFFICE - OWNER,TRUST OR TRUSTEE - OWNER,OTHER TYPE - OWNER,OTHER TYPE TEXT - OWNER,PARENT COMPANY - OWNER,OWNED BY ANOTHER ORG OR IND - OWNER
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,2860928223,O,72,ADP OF THE SNF,2025-04-04,,,,,LIBERTY REAL PROPERTIES II LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,N,N,Y,N,N,N,N,N,,,,,N,,,
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,2961762422,O,86,INDIRECT OWNERSHIP INTEREST,2025-04-04,,,,,RONALD B. AND CYNTHIA J. MCNEILL 2013 IRREVOCABLE TRUST,,2334 41ST ST,,WILMINGTON,NC,284035502,,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,,N,N
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,4587574355,O,86,INDIRECT OWNERSHIP INTEREST,2025-04-04,,,,,LIBERTY HEALTHCARE GROUP LLC,LIBERTY COMMONS NURSING AND REHABILITATION CENTER OF WATAUGA COUNTY,44 MCNEILL PLZ,,WHITEVILLE,NC,284728602,,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,,Y,Y
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,5496233066,O,72,ADP OF THE SNF,2025-04-04,,,,,"LIBERTY HEALTHCARE PROPERTIES OF WARREN COUNTY, LLC",,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,6305756172,O,85,DIRECT OWNERSHIP INTEREST,2025-04-04,,,,,LIBERTY LONG TERM CARE LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,100,N,N,Y,N,N,N,Y,N,N,N,N,N,,,,,N,,N,Y
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,7416047246,O,72,ADP OF THE SNF,2025-04-04,,,,,LONG TERM CARE MANAGEMENT SERVICES LLC,,2334 41ST ST,,WILMINGTON,NC,284035502,,,N,Y,N,Y,N,N,N,N,N,N,N,,,,,N,,,
O20161021002138,4587574355,LIBERTY HEALTHCARE GROUP LLC,8224398789,O,86,INDIRECT OWNERSHIP INTEREST,2025-04-04,,,,,JOHN A MCNEILL JR 2012 IRRV TR,,44 MCNEILL PLZ,,WHITEVILLE,NC,284728602,24,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,N,,N,N
O20161104000018,6204114796,"LAKE PARK OPERATIONS, LLC",1254787856,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2022-08-01,,,,,MAXIMUS RRS LLC,,200 2ND ST NW,STE 300,HICKORY,NC,286014933,11.58,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,N,Y
O20161104000018,6204114796,"LAKE PARK OPERATIONS, LLC",1254787856,O,72,ADP OF THE SNF,2022-08-01,,,,,MAXIMUS RRS LLC,,200 2ND ST NW,STE 300,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161104000018,6204114796,"LAKE PARK OPERATIONS, LLC",2466930722,O,72,ADP OF THE SNF,2022-08-01,,,,,,,200 2ND ST NW,STE 300,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161104000018,6204114796,"LAKE PARK OPERATIONS, LLC",4284112541,O,72,ADP OF THE SNF,2022-08-01,,,,,,,200 2ND ST NW,FL 200,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161104000018,6204114796,"LAKE PARK OPERATIONS, LLC",5193203453,O,72,ADP OF THE SNF,2025-11-21,,,,,,,200 2ND ST NW,FL 200,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161116000821,6305125345,DURHAM REHAB OPERATIONS LLC,3779072210,O,72,ADP OF THE SNF,2025-09-23,,,,,,,PO BOX 9268,,HICKORY,NC,286039268,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161116000821,6305125345,DURHAM REHAB OPERATIONS LLC,4688163124,O,72,ADP OF THE SNF,2025-09-23,,,,,,,PO BOX 9268,,HICKORY,NC,286039268,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161116000821,6305125345,DURHAM REHAB OPERATIONS LLC,5597254037,O,72,ADP OF THE SNF,2020-01-01,,,,,,,PO BOX 9268,,HICKORY,NC,286039268,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161122000542,4385952274,WELLMORE OF TEGA CAY LLC,5698054211,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2012-03-06,,,,,WELLMORE LLC,,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,100,Y,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,Y,N
O20161122000542,4385952274,WELLMORE OF TEGA CAY LLC,9537689971,O,43,OPERATIONAL/MANAGERIAL CONTROL,2016-09-01,,,,,"MAXWELL GROUP, INC.",,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,,,N,N,N,Y,N,N,N,N,N,N,N,,,,,N,,,
O20161122000542,4385952274,WELLMORE OF TEGA CAY LLC,9537689971,O,72,ADP OF THE SNF,2025-02-02,,,,,"MAXWELL GROUP, INC.",,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,,,N,N,N,Y,N,N,N,N,N,N,N,,,,,N,,,
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,0840789558,O,72,ADP OF THE SNF,2022-08-01,,,,,,,200 2ND ST NW,,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,1254787856,O,72,ADP OF THE SNF,2022-08-01,,,,,MAXIMUS RRS LLC,,200 2ND ST NW,,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,1254787856,O,86,INDIRECT OWNERSHIP INTEREST,2022-08-01,,,,,MAXIMUS RRS LLC,,200 2ND ST NW,,HICKORY,NC,286014933,11.58,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,N,Y
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,7113416827,O,85,DIRECT OWNERSHIP INTEREST,2016-09-28,,,,,CROSS CITY MAX HOLDINGS LLC,,200 2ND ST NW,,HICKORY,NC,286014933,100,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,N,Y
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,8022507730,O,72,ADP OF THE SNF,2022-08-01,,,,,,,200 2ND ST NW,,HICKORY,NC,286014933,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20161216000581,5496035008,CROSS CITY OPERATIONS LLC,9032608740,O,72,ADP OF THE SNF,2025-02-03,,,,,,,200 2ND ST NW,,HICKORY,NC,286014933,,,N,Y,N,Y,N,N,N,N,N,N,N,,,,,N,,,
O20161216002042,7911287560,LAFAYETTE OPERATIONS LLC,1254787856,O,35,5% OR GREATER INDIRECT OWNERSHIP INTEREST,2022-08-01,,,,,MAXIMUS RRS LLC,,200 2ND ST NW,,HICKORY,NC,286014933,11.58,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,N
O20161216002042,7911287560,LAFAYETTE OPERATIONS LLC,4385922871,O,34,5% OR GREATER DIRECT OWNERSHIP INTEREST,2016-02-28,,,,,LAFAYETTE HOLDINGS LLC,,200 2ND ST NW,,HICKORY,NC,286014933,100,Y,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20170111002442,9032490784,EVERGREEN WOODS RETIREMENT LLC,6608393921,O,86,INDIRECT OWNERSHIP INTEREST,2021-01-01,,,,,"BRENDA U. THOMPSON 2020 IRREVOCABLE TRUST DATED DECEMBER 30, 2020",BRENDA U. THOMPSON TRUST FBO JOSHUA THOMPSON,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,25,N,N,N,N,N,N,N,N,N,N,N,N,,,,Y,Y,(IRREVOCABLE TRUST),N,Y
O20170111002442,9032490784,EVERGREEN WOODS RETIREMENT LLC,6800801002,O,43,OPERATIONAL/MANAGERIAL CONTROL,2016-06-27,,,,,SENIOR LIVING COMMUITIES LLC,,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,,,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,,
O20170111002442,9032490784,EVERGREEN WOODS RETIREMENT LLC,6800801002,O,85,DIRECT OWNERSHIP INTEREST,2016-06-27,,,,,SENIOR LIVING COMMUITIES LLC,,3530 TORINGDON WAY,STE 204,CHARLOTTE,NC,282773436,100,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,N,,Y,Y
